date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/26  05:01:00,6.12,0,280.00,-11.40,8.25,0,280.00,-11.40
08/26  05:01:00,8.42,0,280.00,-11.40,5.57,0,280.00,-11.40
08/26  05:01:00,10.05,0,280.00,-11.40,6.40,0,280.00,-11.40
08/26  05:01:00,6.51,0,280.00,-11.40,9.15,0,280.00,-11.40
08/26  05:01:00,8.67,0,280.00,-11.40,5.69,0,280.00,-11.40
08/26  05:01:00,6.38,0,280.00,-11.40,8.69,0,280.00,-11.40
08/26  05:01:00,9.58,0,280.00,-11.40,5.93,0,280.00,-11.40
08/26  05:01:00,7.38,0,280.00,-11.40,8.40,0,280.00,-11.40
08/26  05:01:00,6.37,0,280.00,-11.40,8.38,0,280.00,-11.40
08/26  05:01:00,10.56,0,280.00,-11.40,6.30,0,280.00,-11.40
08/26  05:01:00,8.09,0,280.00,-11.40,4.22,0,280.00,-11.40
08/26  05:01:00,9.52,0,280.00,-11.40,7.00,0,280.00,-11.40
08/26  05:01:00,6.30,0,280.00,-11.40,9.51,0,280.00,-11.40
08/26  05:01:00,7.44,0,280.00,-11.40,4.41,0,280.00,-11.40
08/26  05:01:00,8.87,0,280.00,-11.40,5.92,0,280.00,-11.40
08/26  05:01:00,10.43,0,280.00,-11.40,6.79,0,280.00,-11.40
08/26  05:01:00,7.93,0,0.00,0.00,7.12,0,0.00,0.00
08/26  05:01:00,5.39,0,0.00,0.00,8.87,0,0.00,0.00
08/26  05:02:00,7.97,0,0.00,0.00,4.66,0,0.00,0.00
08/26  05:02:00,9.85,0,0.00,0.00,7.07,0,0.00,0.00
08/26  05:02:00,6.64,0,0.00,0.00,9.19,0,0.00,0.00
08/26  05:02:00,9.20,0,0.00,0.00,6.20,0,0.00,0.00
08/26  05:02:00,7.72,0,0.00,0.00,9.22,0,0.00,0.00
08/26  05:02:00,9.87,0,0.00,0.00,6.87,0,0.00,0.00
08/26  05:03:00,6.45,0,0.00,0.00,8.44,0,0.00,0.00
08/26  05:03:00,9.93,0,0.00,0.00,6.63,0,0.00,0.00
08/26  05:03:00,7.09,0,0.00,0.00,7.53,0,0.00,0.00
08/26  05:03:00,10.08,0,0.00,0.00,5.92,0,0.00,0.00
08/26  05:03:00,5.59,0,0.00,0.00,9.06,0,0.00,0.00
08/26  05:03:00,7.24,0,0.00,0.00,8.49,0,0.00,0.00
08/26  05:04:00,5.72,0,0.00,0.00,7.76,0,0.00,0.00
08/26  05:04:00,8.04,0,0.00,0.00,9.25,0,0.00,0.00
08/26  05:04:00,9.81,0,0.00,0.00,6.87,0,0.00,0.00
08/26  05:04:00,8.36,0,0.00,0.00,5.86,0,0.00,0.00
08/26  05:04:00,7.65,0,0.00,0.00,9.43,0,0.00,0.00
08/26  05:04:00,10.37,0,0.00,0.00,6.71,0,0.00,0.00
08/26  05:05:00,7.68,0,0.00,0.00,4.59,0,0.00,0.00
08/26  05:05:00,5.85,0,0.00,0.00,8.67,0,0.00,0.00
08/26  05:05:00,9.42,0,0.00,0.00,6.25,0,0.00,0.00
08/26  05:05:00,7.56,0,0.00,0.00,6.85,0,0.00,0.00
08/26  05:05:00,9.72,0,0.00,0.00,6.57,0,0.00,0.00
08/26  05:05:00,7.76,0,0.00,0.00,9.42,0,0.00,0.00
