date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/26  05:06:00,7.11,0,280.00,-11.40,7.97,0,280.00,-11.40
08/26  05:06:00,6.89,0,280.00,-11.40,9.79,0,280.00,-11.40
08/26  05:06:00,6.03,0,280.00,-11.40,9.16,0,280.00,-11.40
08/26  05:06:00,7.04,0,280.00,-11.40,9.29,0,280.00,-11.40
08/26  05:06:00,6.92,0,280.00,-11.40,8.35,0,280.00,-11.40
08/26  05:06:00,6.99,0,280.00,-11.40,9.54,0,280.00,-11.40
08/26  05:06:00,8.14,0,280.00,-11.40,5.30,0,280.00,-11.40
08/26  05:06:00,5.77,0,280.00,-11.40,8.48,0,280.00,-11.40
08/26  05:06:00,9.49,0,280.00,-11.40,6.47,0,280.00,-11.40
08/26  05:06:00,7.91,0,280.00,-11.40,5.15,0,280.00,-11.40
08/26  05:07:00,5.42,0,0.00,0.00,9.30,0,0.00,0.00
08/26  05:07:00,8.63,0,0.00,0.00,5.86,0,0.00,0.00
08/26  05:07:00,8.17,0,0.00,0.00,9.13,0,0.00,0.00
08/26  05:07:00,7.20,0,0.00,0.00,9.02,0,0.00,0.00
08/26  05:07:00,8.43,0,0.00,0.00,5.66,0,0.00,0.00
08/26  05:07:00,9.02,0,0.00,0.00,7.93,0,0.00,0.00
08/26  05:08:00,6.93,0,0.00,0.00,6.28,0,0.00,0.00
08/26  05:08:00,9.98,0,0.00,0.00,6.26,0,0.00,0.00
08/26  05:08:00,6.62,0,0.00,0.00,9.46,0,0.00,0.00
08/26  05:08:00,6.44,0,0.00,0.00,9.20,0,0.00,0.00
08/26  05:08:00,10.00,0,0.00,0.00,5.89,0,0.00,0.00
08/26  05:08:00,5.96,0,0.00,0.00,8.98,0,0.00,0.00
08/26  05:09:00,8.00,0,0.00,0.00,4.70,0,0.00,0.00
08/26  05:09:00,10.19,0,0.00,0.00,6.24,0,0.00,0.00
08/26  05:09:00,7.88,0,0.00,0.00,9.19,0,0.00,0.00
08/26  05:09:00,10.24,0,0.00,0.00,7.62,0,0.00,0.00
08/26  05:09:00,9.54,0,0.00,0.00,7.87,0,0.00,0.00
08/26  05:09:00,6.97,0,0.00,0.00,9.06,0,0.00,0.00
08/26  05:10:00,5.65,0,0.00,0.00,8.78,0,0.00,0.00
08/26  05:10:00,9.85,0,0.00,0.00,7.88,0,0.00,0.00
08/26  05:10:00,9.91,0,0.00,0.00,5.99,0,0.00,0.00
08/26  05:10:00,7.05,0,0.00,0.00,4.04,0,0.00,0.00
08/26  05:10:00,9.94,0,0.00,0.00,8.19,0,0.00,0.00
08/26  05:10:00,5.89,0,0.00,0.00,9.27,0,0.00,0.00
08/26  05:11:00,7.99,0,0.00,0.00,5.73,0,0.00,0.00
08/26  05:11:00,8.43,0,0.00,0.00,4.96,0,0.00,0.00
08/26  05:11:00,7.60,0,0.00,0.00,5.13,0,0.00,0.00
08/26  05:11:00,7.05,0,0.00,0.00,9.39,0,0.00,0.00
08/26  05:11:00,9.67,0,0.00,0.00,6.18,0,0.00,0.00
08/26  05:11:00,5.55,0,0.00,0.00,8.90,0,0.00,0.00
08/26  05:12:00,10.69,0,0.00,0.00,9.03,0,0.00,0.00
08/26  05:12:00,6.95,0,0.00,0.00,9.39,0,0.00,0.00
08/26  05:12:00,6.79,0,0.00,0.00,9.02,0,0.00,0.00
08/26  05:12:00,7.30,0,0.00,0.00,3.53,0,0.00,0.00
08/26  05:12:00,9.84,0,0.00,0.00,6.70,0,0.00,0.00
08/26  05:12:00,7.93,0,0.00,0.00,5.87,0,0.00,0.00
08/26  05:13:00,8.16,0,0.00,0.00,7.67,0,0.00,0.00
