date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/26  05:01:00,6.42,0,280.00,-11.40,7.61,0,280.00,-11.40
08/26  05:01:00,6.88,0,280.00,-11.40,3.90,0,280.00,-11.40
08/26  05:01:00,10.76,0,280.00,-11.40,7.54,0,280.00,-11.40
08/26  05:01:00,6.62,0,280.00,-11.40,9.03,0,280.00,-11.40
08/26  05:01:00,5.50,0,280.00,-11.40,9.24,0,280.00,-11.40
08/26  05:01:00,10.60,0,280.00,-11.40,7.50,0,280.00,-11.40
08/26  05:01:00,6.93,0,280.00,-11.40,6.69,0,280.00,-11.40
08/26  05:01:00,10.04,0,280.00,-11.40,7.69,0,280.00,-11.40
08/26  05:01:00,5.61,0,280.00,-11.40,9.04,0,280.00,-11.40
08/26  05:02:00,6.85,0,0.00,0.00,8.62,0,0.00,0.00
08/26  05:02:00,6.19,0,0.00,0.00,9.01,0,0.00,0.00
08/26  05:02:00,6.17,0,0.00,0.00,9.36,0,0.00,0.00
08/26  05:02:00,7.19,0,0.00,0.00,6.34,0,0.00,0.00
08/26  05:02:00,6.41,0,0.00,0.00,8.81,0,0.00,0.00
08/26  05:02:00,8.90,0,0.00,0.00,5.72,0,0.00,0.00
08/26  05:03:00,7.71,0,0.00,0.00,9.31,0,0.00,0.00
08/26  05:03:00,10.04,0,0.00,0.00,6.52,0,0.00,0.00
08/26  05:03:00,10.84,0,0.00,0.00,7.60,0,0.00,0.00
08/26  05:03:00,10.70,0,0.00,0.00,7.89,0,0.00,0.00
08/26  05:03:00,8.26,0,0.00,0.00,5.24,0,0.00,0.00
08/26  05:03:00,10.77,0,0.00,0.00,7.89,0,0.00,0.00
08/26  05:04:00,8.55,0,0.00,0.00,8.17,0,0.00,0.00
08/26  05:04:00,6.97,0,0.00,0.00,5.63,0,0.00,0.00
08/26  05:04:00,7.72,0,0.00,0.00,9.35,0,0.00,0.00
08/26  05:04:00,9.43,0,0.00,0.00,6.25,0,0.00,0.00
08/26  05:04:00,6.62,0,0.00,0.00,8.68,0,0.00,0.00
08/26  05:04:00,10.31,0,0.00,0.00,4.95,0,0.00,0.00
08/26  05:05:00,10.29,0,0.00,0.00,5.52,0,0.00,0.00
08/26  05:05:00,8.51,0,0.00,0.00,5.60,0,0.00,0.00
08/26  05:05:00,8.54,0,0.00,0.00,4.98,0,0.00,0.00
08/26  05:05:00,10.00,0,0.00,0.00,5.71,0,0.00,0.00
08/26  05:05:00,10.09,0,0.00,0.00,6.47,0,0.00,0.00
08/26  05:05:00,10.44,0,0.00,0.00,5.67,0,0.00,0.00
08/26  05:06:00,6.86,0,0.00,0.00,9.42,0,0.00,0.00
08/26  05:06:00,9.41,0,0.00,0.00,6.43,0,0.00,0.00
08/26  05:06:00,5.83,0,0.00,0.00,8.66,0,0.00,0.00
08/26  05:06:00,6.91,0,0.00,0.00,9.43,0,0.00,0.00
08/26  05:06:00,9.07,0,0.00,0.00,5.81,0,0.00,0.00
08/26  05:06:00,6.41,0,0.00,0.00,6.74,0,0.00,0.00
08/26  05:07:00,7.39,0,0.00,0.00,9.06,0,0.00,0.00
08/26  05:07:00,8.92,0,0.00,0.00,6.86,0,0.00,0.00
08/26  05:07:00,9.58,0,0.00,0.00,5.69,0,0.00,0.00
08/26  05:07:00,8.09,0,0.00,0.00,4.81,0,0.00,0.00
08/26  05:07:00,7.45,0,0.00,0.00,9.03,0,0.00,0.00
08/26  05:07:00,9.27,0,0.00,0.00,6.06,0,0.00,0.00
08/26  05:08:00,3.49,0,0.00,0.00,9.23,0,0.00,0.00
08/26  05:08:00,9.97,0,0.00,0.00,9.57,0,0.00,0.00
08/26  05:08:00,6.07,0,0.00,0.00,9.26,0,0.00,0.00
08/26  05:08:00,10.03,0,0.00,0.00,8.96,0,0.00,0.00
08/26  05:08:00,7.38,0,0.00,0.00,9.52,0,0.00,0.00
08/26  05:08:00,8.59,0,0.00,0.00,5.96,0,0.00,0.00
08/26  05:09:00,7.69,0,0.00,0.00,8.75,0,0.00,0.00
08/26  05:09:00,6.58,0,0.00,0.00,9.97,0,0.00,0.00
08/26  05:09:00,6.71,0,0.00,0.00,9.77,0,0.00,0.00
08/26  05:09:00,5.94,0,0.00,0.00,9.06,0,0.00,0.00
08/26  05:09:00,6.48,0,0.00,0.00,9.12,0,0.00,0.00
08/26  05:09:00,10.43,0,0.00,0.00,8.10,0,0.00,0.00
08/26  05:10:00,7.01,0,0.00,0.00,4.46,0,0.00,0.00
08/26  05:10:00,10.95,0,0.00,0.00,8.12,0,0.00,0.00
08/26  05:10:00,6.85,0,0.00,0.00,9.69,0,0.00,0.00
08/26  05:10:00,11.21,0,0.00,0.00,8.29,0,0.00,0.00
08/26  05:10:00,7.75,0,0.00,0.00,8.07,0,0.00,0.00
08/26  05:10:00,9.48,0,0.00,0.00,6.06,0,0.00,0.00
08/26  05:11:00,11.14,0,0.00,0.00,8.07,0,0.00,0.00
08/26  05:11:00,5.84,0,0.00,0.00,9.34,0,0.00,0.00
08/26  05:11:00,8.52,0,0.00,0.00,5.14,0,0.00,0.00
08/26  05:11:00,7.34,0,0.00,0.00,4.61,0,0.00,0.00
08/26  05:11:00,10.58,0,0.00,0.00,6.12,0,0.00,0.00
08/26  05:11:00,7.37,0,0.00,0.00,9.30,0,0.00,0.00
08/26  05:12:00,6.41,0,0.00,0.00,9.20,0,0.00,0.00
08/26  05:12:00,11.47,0,0.00,0.00,8.56,0,0.00,0.00
08/26  05:12:00,9.62,0,0.00,0.00,6.48,0,0.00,0.00
08/26  05:12:00,8.64,0,0.00,0.00,5.37,0,0.00,0.00
08/26  05:12:00,10.08,0,0.00,0.00,8.81,0,0.00,0.00
08/26  05:12:00,7.26,0,0.00,0.00,10.01,0,0.00,0.00
08/26  05:13:00,7.70,0,0.00,0.00,5.02,0,0.00,0.00
08/26  05:13:00,9.47,0,0.00,0.00,5.72,0,0.00,0.00
08/26  05:13:00,6.92,0,0.00,0.00,9.02,0,0.00,0.00
08/26  05:13:00,8.90,0,0.00,0.00,9.15,0,0.00,0.00
08/26  05:13:00,1.18,0,0.00,0.00,9.41,0,0.00,0.00
08/26  05:13:00,10.28,0,0.00,0.00,7.90,0,0.00,0.00
08/26  05:14:00,6.51,0,0.00,0.00,9.22,0,0.00,0.00
08/26  05:14:00,7.51,0,0.00,0.00,8.83,0,0.00,0.00
08/26  05:14:00,10.28,0,0.00,0.00,6.80,0,0.00,0.00
08/26  05:14:00,10.45,0,0.00,0.00,7.71,0,0.00,0.00
08/26  05:14:00,6.05,0,0.00,0.00,9.22,0,0.00,0.00
08/26  05:14:00,7.20,0,0.00,0.00,4.64,0,0.00,0.00
08/26  05:15:00,7.84,0,0.00,0.00,5.30,0,0.00,0.00
08/26  05:15:00,9.18,0,0.00,0.00,5.81,0,0.00,0.00
08/26  05:15:00,9.34,0,0.00,0.00,8.11,0,0.00,0.00
08/26  05:15:00,6.60,0,0.00,0.00,9.34,0,0.00,0.00
08/26  05:15:00,9.20,0,0.00,0.00,6.25,0,0.00,0.00
08/26  05:15:00,7.30,0,0.00,0.00,8.79,0,0.00,0.00
08/26  05:16:00,6.71,0,0.00,0.00,9.47,0,0.00,0.00
08/26  05:16:00,7.41,0,0.00,0.00,4.60,0,0.00,0.00
08/26  05:16:00,9.71,0,0.00,0.00,6.36,0,0.00,0.00
08/26  05:16:00,10.71,0,0.00,0.00,7.59,0,0.00,0.00
08/26  05:16:00,6.27,0,0.00,0.00,9.23,0,0.00,0.00
08/26  05:16:00,6.62,0,0.00,0.00,9.63,0,0.00,0.00
08/26  05:17:00,6.35,0,0.00,0.00,9.28,0,0.00,0.00
08/26  05:17:00,6.72,0,0.00,0.00,9.09,0,0.00,0.00
08/26  05:17:00,8.98,0,0.00,0.00,5.89,0,0.00,0.00
