date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/08  05:06:00,10.69,0,280.00,-11.40,7.53,0,280.00,-11.40
07/08  05:06:00,6.99,0,280.00,-11.40,8.48,0,280.00,-11.40
07/08  05:06:00,7.83,0,280.00,-11.40,4.67,0,280.00,-11.40
07/08  05:06:00,8.45,0,280.00,-11.40,5.11,0,280.00,-11.40
07/08  05:06:00,10.63,0,280.00,-11.40,7.63,0,280.00,-11.40
07/08  05:06:00,6.11,0,280.00,-11.40,7.93,0,280.00,-11.40
07/08  05:06:00,8.33,0,280.00,-11.40,5.23,0,280.00,-11.40
07/08  05:06:00,7.67,0,280.00,-11.40,7.95,0,280.00,-11.40
07/08  05:06:00,8.85,0,280.00,-11.40,5.69,0,280.00,-11.40
07/08  05:06:00,10.52,0,280.00,-11.40,7.02,0,280.00,-11.40
07/08  05:06:00,7.10,0,280.00,-11.40,8.48,0,280.00,-11.40
07/08  05:06:00,7.78,0,280.00,-11.40,8.21,0,280.00,-11.40
07/08  05:06:00,9.34,0,280.00,-11.40,6.46,0,280.00,-11.40
07/08  05:06:00,11.19,0,280.00,-11.40,6.23,0,280.00,-11.40
07/08  05:06:00,9.40,0,0.00,0.00,5.15,0,0.00,0.00
07/08  05:07:00,7.15,0,0.00,0.00,9.72,0,0.00,0.00
07/08  05:07:00,9.32,0,0.00,0.00,6.41,0,0.00,0.00
07/08  05:07:00,6.62,0,0.00,0.00,8.28,0,0.00,0.00
07/08  05:07:00,8.04,0,0.00,0.00,4.30,0,0.00,0.00
07/08  05:07:00,9.31,0,0.00,0.00,7.80,0,0.00,0.00
07/08  05:07:00,8.96,0,0.00,0.00,5.53,0,0.00,0.00
07/08  05:08:00,7.97,0,0.00,0.00,5.45,0,0.00,0.00
07/08  05:08:00,7.85,0,0.00,0.00,9.45,0,0.00,0.00
07/08  05:08:00,7.32,0,0.00,0.00,8.21,0,0.00,0.00
07/08  05:08:00,9.96,0,0.00,0.00,6.85,0,0.00,0.00
07/08  05:08:00,7.06,0,0.00,0.00,5.24,0,0.00,0.00
07/08  05:08:00,7.95,0,0.00,0.00,4.92,0,0.00,0.00
07/08  05:09:00,7.33,0,0.00,0.00,4.36,0,0.00,0.00
07/08  05:09:00,7.37,0,0.00,0.00,5.39,0,0.00,0.00
07/08  05:09:00,7.81,0,0.00,0.00,5.36,0,0.00,0.00
07/08  05:09:00,8.51,0,0.00,0.00,4.62,0,0.00,0.00
07/08  05:09:00,8.41,0,0.00,0.00,4.92,0,0.00,0.00
07/08  05:09:00,8.32,0,0.00,0.00,5.12,0,0.00,0.00
07/08  05:10:00,8.39,0,0.00,0.00,5.51,0,0.00,0.00
07/08  05:10:00,6.51,0,0.00,0.00,5.91,0,0.00,0.00
07/08  05:10:00,7.15,0,0.00,0.00,9.15,0,0.00,0.00
07/08  05:10:00,9.60,0,0.00,0.00,6.43,0,0.00,0.00
07/08  05:10:00,7.71,0,0.00,0.00,9.49,0,0.00,0.00
07/08  05:10:00,10.90,0,0.00,0.00,7.96,0,0.00,0.00
07/08  05:11:00,8.52,0,0.00,0.00,5.46,0,0.00,0.00
07/08  05:11:00,7.16,0,0.00,0.00,9.48,0,0.00,0.00
07/08  05:11:00,9.20,0,0.00,0.00,6.41,0,0.00,0.00
07/08  05:11:00,6.37,0,0.00,0.00,9.14,0,0.00,0.00
07/08  05:11:00,9.89,0,0.00,0.00,7.28,0,0.00,0.00
07/08  05:11:00,9.81,0,0.00,0.00,6.47,0,0.00,0.00
07/08  05:12:00,7.96,0,0.00,0.00,4.62,0,0.00,0.00
07/08  05:12:00,8.89,0,0.00,0.00,7.83,0,0.00,0.00
07/08  05:12:00,7.96,0,0.00,0.00,9.55,0,0.00,0.00
07/08  05:12:00,5.64,0,0.00,0.00,9.98,0,0.00,0.00
07/08  05:12:00,7.36,0,0.00,0.00,4.63,0,0.00,0.00
07/08  05:12:00,10.55,0,0.00,0.00,7.98,0,0.00,0.00
07/08  05:13:00,8.44,0,0.00,0.00,4.62,0,0.00,0.00
07/08  05:13:00,6.32,0,0.00,0.00,8.97,0,0.00,0.00
07/08  05:13:00,10.22,0,0.00,0.00,6.67,0,0.00,0.00
07/08  05:13:00,5.46,0,0.00,0.00,9.66,0,0.00,0.00
07/08  05:13:00,9.99,0,0.00,0.00,6.35,0,0.00,0.00
07/08  05:13:00,7.10,0,0.00,0.00,10.23,0,0.00,0.00
07/08  05:14:00,8.38,0,0.00,0.00,8.13,0,0.00,0.00
07/08  05:14:00,8.88,0,0.00,0.00,7.42,0,0.00,0.00
07/08  05:14:00,8.90,0,0.00,0.00,6.18,0,0.00,0.00
07/08  05:14:00,7.91,0,0.00,0.00,5.32,0,0.00,0.00
07/08  05:14:00,6.04,0,0.00,0.00,9.23,0,0.00,0.00
07/08  05:14:00,8.46,0,0.00,0.00,5.31,0,0.00,0.00
07/08  05:15:00,5.18,0,0.00,0.00,8.72,0,0.00,0.00
07/08  05:15:00,9.77,0,0.00,0.00,5.73,0,0.00,0.00
07/08  05:15:00,6.41,0,0.00,0.00,9.49,0,0.00,0.00
07/08  05:15:00,10.25,0,0.00,0.00,6.76,0,0.00,0.00
07/08  05:15:00,6.55,0,0.00,0.00,9.14,0,0.00,0.00
07/08  05:15:00,8.70,0,0.00,0.00,5.62,0,0.00,0.00
07/08  05:16:00,9.69,0,0.00,0.00,6.44,0,0.00,0.00
07/08  05:16:00,10.19,0,0.00,0.00,6.84,0,0.00,0.00
07/08  05:16:00,10.81,0,0.00,0.00,5.20,0,0.00,0.00
07/08  05:16:00,9.91,0,0.00,0.00,6.37,0,0.00,0.00
07/08  05:16:00,7.08,0,0.00,0.00,4.43,0,0.00,0.00
07/08  05:16:00,7.42,0,0.00,0.00,5.16,0,0.00,0.00
07/08  05:17:00,8.72,0,0.00,0.00,5.38,0,0.00,0.00
07/08  05:17:00,6.55,0,0.00,0.00,9.61,0,0.00,0.00
07/08  05:17:00,7.26,0,0.00,0.00,6.07,0,0.00,0.00
07/08  05:17:00,7.05,0,0.00,0.00,8.10,0,0.00,0.00
07/08  05:17:00,6.93,0,0.00,0.00,6.91,0,0.00,0.00
07/08  05:17:00,9.81,0,0.00,0.00,6.98,0,0.00,0.00
07/08  05:18:00,6.42,0,0.00,0.00,8.52,0,0.00,0.00
07/08  05:18:00,7.75,0,0.00,0.00,4.49,0,0.00,0.00
07/08  05:18:00,6.03,0,0.00,0.00,8.31,0,0.00,0.00
07/08  05:18:00,8.11,0,0.00,0.00,5.51,0,0.00,0.00
07/08  05:18:00,6.76,0,0.00,0.00,8.97,0,0.00,0.00
07/08  05:18:00,8.44,0,0.00,0.00,5.30,0,0.00,0.00
07/08  05:19:00,5.87,0,0.00,0.00,9.43,0,0.00,0.00
07/08  05:19:00,8.72,0,0.00,0.00,8.05,0,0.00,0.00
07/08  05:19:00,10.71,0,0.00,0.00,7.32,0,0.00,0.00
07/08  05:19:00,8.79,0,0.00,0.00,5.93,0,0.00,0.00
07/08  05:19:00,7.85,0,0.00,0.00,9.38,0,0.00,0.00
07/08  05:19:00,9.92,0,0.00,0.00,7.12,0,0.00,0.00
