date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/26  00:02:00,5.56,0,0.00,0.00,9.44,0,0.00,0.00
08/26  00:02:00,6.73,0,0.00,0.00,4.24,0,0.00,0.00
08/26  00:02:00,7.32,0,0.00,0.00,4.26,0,0.00,0.00
08/26  00:02:00,5.78,0,0.00,0.00,9.38,0,0.00,0.00
08/26  00:02:00,7.99,0,0.00,0.00,4.79,0,0.00,0.00
08/26  00:02:00,9.69,0,0.00,0.00,5.92,0,0.00,0.00
08/26  00:03:00,5.95,0,0.00,0.00,9.35,0,0.00,0.00
08/26  00:03:00,6.06,0,0.00,0.00,9.36,0,0.00,0.00
08/26  00:03:00,8.43,0,0.00,0.00,5.35,0,0.00,0.00
08/26  00:03:00,6.50,0,0.00,0.00,9.40,0,0.00,0.00
08/26  00:03:00,5.81,0,0.00,0.00,9.36,0,0.00,0.00
08/26  00:03:00,8.26,0,0.00,0.00,4.72,0,0.00,0.00
08/26  05:02:00,10.23,0,0.00,0.00,7.23,0,0.00,0.00
08/26  05:02:00,6.66,0,0.00,0.00,9.62,0,0.00,0.00
08/26  05:02:00,10.66,0,0.00,0.00,7.34,0,0.00,0.00
08/26  05:02:00,7.88,0,0.00,0.00,4.73,0,0.00,0.00
08/26  05:02:00,7.75,0,0.00,0.00,5.32,0,0.00,0.00
08/26  05:02:00,8.23,0,0.00,0.00,5.18,0,0.00,0.00
08/26  05:02:00,7.07,0,0.00,0.00,9.14,0,0.00,0.00
08/26  05:02:00,6.79,0,0.00,0.00,6.39,0,0.00,0.00
08/26  05:02:00,7.74,0,0.00,0.00,4.87,0,0.00,0.00
08/26  05:02:00,7.36,0,0.00,0.00,4.51,0,0.00,0.00
08/26  05:02:00,10.20,0,0.00,0.00,7.27,0,0.00,0.00
08/26  05:02:00,7.26,0,0.00,0.00,4.50,0,0.00,0.00
08/26  05:03:00,6.16,0,0.00,0.00,9.82,0,0.00,0.00
08/26  05:03:00,6.31,0,0.00,0.00,9.16,0,0.00,0.00
08/26  05:03:00,10.34,0,0.00,0.00,7.41,0,0.00,0.00
08/26  05:03:00,8.43,0,0.00,0.00,5.38,0,0.00,0.00
08/26  05:03:00,6.57,0,0.00,0.00,9.68,0,0.00,0.00
08/26  05:03:00,8.66,0,0.00,0.00,6.01,0,0.00,0.00
08/26  05:03:00,7.18,0,0.00,0.00,4.05,0,0.00,0.00
08/26  05:04:00,6.48,0,0.00,0.00,9.78,0,0.00,0.00
