date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
04/29  05:01:00,6.18,0,280.00,-11.40,8.16,0,280.00,-11.40
04/29  05:01:00,10.54,0,280.00,-11.40,6.90,0,280.00,-11.40
04/29  05:01:00,10.99,0,280.00,-11.40,7.29,0,280.00,-11.40
04/29  05:01:00,9.77,0,280.00,-11.40,7.84,0,280.00,-11.40
04/29  05:01:00,7.04,0,280.00,-11.40,8.86,0,280.00,-11.40
04/29  05:01:00,6.38,0,280.00,-11.40,8.07,0,280.00,-11.40
04/29  05:01:00,7.24,0,280.00,-11.40,5.68,0,280.00,-11.40
04/29  05:01:00,6.74,0,280.00,-11.40,4.71,0,280.00,-11.40
04/29  05:01:00,6.05,0,280.00,-11.40,6.92,0,280.00,-11.40
04/29  05:01:00,8.62,0,280.00,-11.40,8.43,0,280.00,-11.40
04/29  05:01:00,8.89,0,280.00,-11.40,5.82,0,280.00,-11.40
04/29  05:01:00,9.76,0,280.00,-11.40,8.52,0,280.00,-11.40
04/29  05:01:00,5.93,0,280.00,-11.40,8.89,0,280.00,-11.40
04/29  05:01:00,5.88,0,280.00,-11.40,8.98,0,280.00,-11.40
04/29  05:01:00,6.74,0,280.00,-11.40,9.07,0,280.00,-11.40
04/29  05:02:00,6.48,0,0.00,0.00,9.37,0,0.00,0.00
04/29  05:02:00,7.44,0,0.00,0.00,4.34,0,0.00,0.00
04/29  05:02:00,10.25,0,0.00,0.00,7.09,0,0.00,0.00
04/29  05:02:00,6.13,0,0.00,0.00,9.50,0,0.00,0.00
04/29  05:02:00,9.51,0,0.00,0.00,6.18,0,0.00,0.00
04/29  05:02:00,6.50,0,0.00,0.00,8.82,0,0.00,0.00
04/29  05:03:00,5.62,0,0.00,0.00,9.00,0,0.00,0.00
04/29  05:03:00,6.32,0,0.00,0.00,9.21,0,0.00,0.00
04/29  05:03:00,11.03,0,0.00,0.00,8.10,0,0.00,0.00
04/29  05:03:00,9.59,0,0.00,0.00,6.28,0,0.00,0.00
04/29  05:03:00,9.01,0,0.00,0.00,5.72,0,0.00,0.00
04/29  05:03:00,8.34,0,0.00,0.00,5.59,0,0.00,0.00
04/29  05:04:00,9.84,0,0.00,0.00,7.87,0,0.00,0.00
04/29  05:04:00,6.22,0,0.00,0.00,4.86,0,0.00,0.00
04/29  05:04:00,9.18,0,0.00,0.00,6.05,0,0.00,0.00
04/29  05:04:00,11.16,0,0.00,0.00,7.77,0,0.00,0.00
04/29  05:04:00,10.31,0,0.00,0.00,8.77,0,0.00,0.00
04/29  05:04:00,8.70,0,0.00,0.00,5.86,0,0.00,0.00
04/29  05:05:00,7.93,0,0.00,0.00,9.05,0,0.00,0.00
04/29  05:05:00,5.59,0,0.00,0.00,9.13,0,0.00,0.00
04/29  05:05:00,5.15,0,0.00,0.00,8.84,0,0.00,0.00
04/29  05:05:00,5.27,0,0.00,0.00,8.64,0,0.00,0.00
04/29  05:05:00,5.18,0,0.00,0.00,8.60,0,0.00,0.00
04/29  05:05:00,5.84,0,0.00,0.00,9.13,0,0.00,0.00
04/29  05:06:00,5.68,0,0.00,0.00,8.92,0,0.00,0.00
04/29  05:06:00,6.90,0,0.00,0.00,3.37,0,0.00,0.00
04/29  05:06:00,6.60,0,0.00,0.00,6.15,0,0.00,0.00
04/29  05:06:00,3.33,0,0.00,0.00,9.22,0,0.00,0.00
04/29  05:06:00,9.28,0,0.00,0.00,5.74,0,0.00,0.00
04/29  05:06:00,9.50,0,0.00,0.00,8.48,0,0.00,0.00
04/29  05:07:00,10.26,0,0.00,0.00,6.62,0,0.00,0.00
04/29  05:07:00,9.11,0,0.00,0.00,6.17,0,0.00,0.00
04/29  05:07:00,7.26,0,0.00,0.00,4.61,0,0.00,0.00
04/29  05:07:00,8.27,0,0.00,0.00,5.53,0,0.00,0.00
04/29  05:07:00,9.64,0,0.00,0.00,5.99,0,0.00,0.00
04/29  05:07:00,8.43,0,0.00,0.00,4.99,0,0.00,0.00
04/29  05:08:00,6.30,0,0.00,0.00,7.21,0,0.00,0.00
04/29  05:08:00,8.97,0,0.00,0.00,8.49,0,0.00,0.00
04/29  05:08:00,8.95,0,0.00,0.00,5.67,0,0.00,0.00
04/29  05:08:00,6.81,0,0.00,0.00,8.80,0,0.00,0.00
04/29  05:08:00,10.09,0,0.00,0.00,6.38,0,0.00,0.00
04/29  05:08:00,7.52,0,0.00,0.00,5.24,0,0.00,0.00
04/29  05:09:00,6.03,0,0.00,0.00,9.51,0,0.00,0.00
04/29  05:09:00,9.85,0,0.00,0.00,7.61,0,0.00,0.00
04/29  05:09:00,9.62,0,0.00,0.00,6.47,0,0.00,0.00
04/29  05:09:00,6.23,0,0.00,0.00,8.82,0,0.00,0.00
04/29  05:09:00,7.19,0,0.00,0.00,8.64,0,0.00,0.00
04/29  05:09:00,9.66,0,0.00,0.00,7.86,0,0.00,0.00
04/29  05:10:00,5.34,0,0.00,0.00,9.16,0,0.00,0.00
04/29  05:10:00,6.93,0,0.00,0.00,9.08,0,0.00,0.00
04/29  05:10:00,7.58,0,0.00,0.00,4.66,0,0.00,0.00
04/29  05:10:00,9.48,0,0.00,0.00,5.63,0,0.00,0.00
04/29  05:10:00,6.50,0,0.00,0.00,9.18,0,0.00,0.00
04/29  05:10:00,9.80,0,0.00,0.00,6.27,0,0.00,0.00
04/29  05:11:00,7.25,0,0.00,0.00,4.81,0,0.00,0.00
04/29  05:11:00,9.91,0,0.00,0.00,8.18,0,0.00,0.00
04/29  05:11:00,6.35,0,0.00,0.00,9.30,0,0.00,0.00
04/29  05:11:00,5.62,0,0.00,0.00,9.00,0,0.00,0.00
04/29  05:11:00,6.34,0,0.00,0.00,8.87,0,0.00,0.00
04/29  05:11:00,6.90,0,0.00,0.00,9.00,0,0.00,0.00
04/29  05:12:00,8.68,0,0.00,0.00,6.05,0,0.00,0.00
04/29  05:12:00,8.42,0,0.00,0.00,8.76,0,0.00,0.00
04/29  05:12:00,6.68,0,0.00,0.00,5.10,0,0.00,0.00
04/29  05:12:00,10.06,0,0.00,0.00,8.05,0,0.00,0.00
04/29  05:12:00,7.41,0,0.00,0.00,4.73,0,0.00,0.00
04/29  05:12:00,7.38,0,0.00,0.00,4.82,0,0.00,0.00
04/29  05:13:00,6.34,0,0.00,0.00,7.04,0,0.00,0.00
04/29  05:13:00,7.92,0,0.00,0.00,5.14,0,0.00,0.00
04/29  05:13:00,6.34,0,0.00,0.00,9.10,0,0.00,0.00
04/29  05:13:00,9.59,0,0.00,0.00,8.68,0,0.00,0.00
04/29  05:13:00,9.39,0,0.00,0.00,6.95,0,0.00,0.00
04/29  05:13:00,11.32,0,0.00,0.00,8.01,0,0.00,0.00
04/29  05:14:00,6.93,0,0.00,0.00,9.23,0,0.00,0.00
04/29  05:14:00,7.28,0,0.00,0.00,9.62,0,0.00,0.00
04/29  05:14:00,6.14,0,0.00,0.00,8.30,0,0.00,0.00
04/29  05:14:00,8.15,0,0.00,0.00,5.51,0,0.00,0.00
04/29  05:14:00,9.09,0,0.00,0.00,6.08,0,0.00,0.00
04/29  05:14:00,5.63,0,0.00,0.00,8.92,0,0.00,0.00
04/29  05:15:00,9.56,0,0.00,0.00,5.32,0,0.00,0.00
04/29  05:15:00,10.14,0,0.00,0.00,7.23,0,0.00,0.00
04/29  05:15:00,6.75,0,0.00,0.00,6.72,0,0.00,0.00
04/29  05:15:00,10.00,0,0.00,0.00,7.05,0,0.00,0.00
04/29  05:15:00,7.30,0,0.00,0.00,9.38,0,0.00,0.00
04/29  05:15:00,9.62,0,0.00,0.00,6.01,0,0.00,0.00
04/29  05:16:00,6.59,0,0.00,0.00,7.35,0,0.00,0.00
04/29  05:16:00,8.56,0,0.00,0.00,5.87,0,0.00,0.00
04/29  05:16:00,8.26,0,0.00,0.00,5.80,0,0.00,0.00
04/29  05:16:00,5.86,0,0.00,0.00,9.47,0,0.00,0.00
04/29  05:16:00,9.47,0,0.00,0.00,4.38,0,0.00,0.00
04/29  05:16:00,8.77,0,0.00,0.00,6.24,0,0.00,0.00
04/29  05:17:00,8.22,0,0.00,0.00,5.20,0,0.00,0.00
04/29  05:17:00,6.07,0,0.00,0.00,9.37,0,0.00,0.00
