date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/02  05:01:00,8.51,0,280.00,-11.40,5.38,0,280.00,-11.40
07/02  05:01:00,7.92,0,280.00,-11.40,5.04,0,280.00,-11.40
07/02  05:01:00,6.85,0,280.00,-11.40,4.49,0,280.00,-11.40
07/02  05:01:00,10.32,0,280.00,-11.40,8.20,0,280.00,-11.40
07/02  05:01:00,7.47,0,280.00,-11.40,4.86,0,280.00,-11.40
07/02  05:01:00,10.66,0,280.00,-11.40,7.59,0,280.00,-11.40
07/02  05:01:00,6.06,0,280.00,-11.40,9.05,0,280.00,-11.40
07/02  05:01:00,7.07,0,280.00,-11.40,4.10,0,280.00,-11.40
07/02  05:01:00,9.61,0,280.00,-11.40,6.35,0,280.00,-11.40
07/02  05:01:00,5.88,0,0.00,0.00,9.05,0,0.00,0.00
07/02  05:01:00,6.20,0,0.00,0.00,7.58,0,0.00,0.00
07/02  05:01:00,7.58,0,0.00,0.00,4.72,0,0.00,0.00
07/02  05:01:00,6.92,0,0.00,0.00,5.55,0,0.00,0.00
07/02  05:01:00,10.33,0,0.00,0.00,7.19,0,0.00,0.00
07/02  05:01:00,8.98,0,0.00,0.00,8.40,0,0.00,0.00
07/02  05:02:00,5.70,0,0.00,0.00,9.13,0,0.00,0.00
07/02  05:02:00,6.49,0,0.00,0.00,9.34,0,0.00,0.00
07/02  05:02:00,7.17,0,0.00,0.00,5.42,0,0.00,0.00
07/02  05:02:00,7.60,0,0.00,0.00,9.10,0,0.00,0.00
07/02  05:02:00,9.10,0,0.00,0.00,9.25,0,0.00,0.00
07/02  05:02:00,7.44,0,0.00,0.00,9.44,0,0.00,0.00
07/02  05:03:00,9.66,0,0.00,0.00,7.69,0,0.00,0.00
07/02  05:03:00,8.94,0,0.00,0.00,5.77,0,0.00,0.00
07/02  05:03:00,7.44,0,0.00,0.00,9.25,0,0.00,0.00
07/02  05:03:00,10.26,0,0.00,0.00,7.87,0,0.00,0.00
07/02  05:03:00,8.55,0,0.00,0.00,5.69,0,0.00,0.00
07/02  05:03:00,6.47,0,0.00,0.00,9.09,0,0.00,0.00
07/02  05:04:00,10.20,0,0.00,0.00,7.73,0,0.00,0.00
07/02  05:04:00,7.07,0,0.00,0.00,4.51,0,0.00,0.00
07/02  05:04:00,8.22,0,0.00,0.00,8.71,0,0.00,0.00
07/02  05:04:00,6.73,0,0.00,0.00,4.41,0,0.00,0.00
07/02  05:04:00,4.61,0,0.00,0.00,9.20,0,0.00,0.00
