date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/02  05:11:00,9.03,0,280.00,-11.40,6.17,0,280.00,-11.40
07/02  05:11:00,8.74,0,280.00,-11.40,5.42,0,280.00,-11.40
07/02  05:11:00,8.29,0,280.00,-11.40,4.93,0,280.00,-11.40
07/02  05:11:00,9.79,0,280.00,-11.40,6.52,0,280.00,-11.40
07/02  05:11:00,6.29,0,280.00,-11.40,9.00,0,280.00,-11.40
07/02  05:11:00,6.99,0,280.00,-11.40,7.71,0,280.00,-11.40
07/02  05:11:00,8.36,0,280.00,-11.40,4.84,0,280.00,-11.40
07/02  05:11:00,10.17,0,280.00,-11.40,6.99,0,280.00,-11.40
07/02  05:11:00,10.01,0,280.00,-11.40,6.46,0,280.00,-11.40
07/02  05:11:00,9.11,0,280.00,-11.40,6.49,0,280.00,-11.40
07/02  05:11:00,7.97,0,280.00,-11.40,5.07,0,280.00,-11.40
07/02  05:11:00,6.05,0,280.00,-11.40,9.07,0,280.00,-11.40
07/02  05:11:00,9.62,0,280.00,-11.40,5.88,0,280.00,-11.40
07/02  05:11:00,7.16,0,280.00,-11.40,8.39,0,280.00,-11.40
07/02  05:11:00,9.96,0,280.00,-11.40,7.00,0,280.00,-11.40
07/02  05:11:00,8.15,0,280.00,-11.40,4.66,0,280.00,-11.40
07/02  05:11:00,5.92,0,280.00,-11.40,9.09,0,280.00,-11.40
07/02  05:11:00,4.69,0,280.00,-11.40,9.33,0,280.00,-11.40
07/02  05:11:00,7.21,0,280.00,-11.40,4.24,0,280.00,-11.40
07/02  05:11:00,10.08,0,280.00,-11.40,5.82,0,280.00,-11.40
07/02  05:11:00,6.79,0,280.00,-11.40,9.57,0,280.00,-11.40
07/02  05:11:00,9.07,0,280.00,-11.40,5.58,0,280.00,-11.40
07/02  05:11:00,5.61,0,280.00,-11.40,7.94,0,280.00,-11.40
07/02  05:11:00,9.06,0,280.00,-11.40,6.11,0,280.00,-11.40
07/02  05:11:00,7.20,0,280.00,-11.40,4.50,0,280.00,-11.40
07/02  05:11:00,7.43,0,280.00,-11.40,8.77,0,280.00,-11.40
07/02  05:11:00,10.94,0,280.00,-11.40,7.51,0,280.00,-11.40
07/02  05:11:00,10.54,0,280.00,-11.40,6.56,0,280.00,-11.40
07/02  05:11:00,7.35,0,280.00,-11.40,5.33,0,280.00,-11.40
07/02  05:11:00,5.96,0,280.00,-11.40,9.42,0,280.00,-11.40
07/02  05:11:00,8.43,0,280.00,-11.40,7.62,0,280.00,-11.40
07/02  05:11:00,8.26,0,280.00,-11.40,5.43,0,280.00,-11.40
07/02  05:11:00,6.30,0,280.00,-11.40,9.92,0,280.00,-11.40
07/02  05:11:00,9.96,0,280.00,-11.40,6.39,0,280.00,-11.40
07/02  05:11:00,7.78,0,280.00,-11.40,5.19,0,280.00,-11.40
07/02  05:11:00,6.27,0,280.00,-11.40,8.90,0,280.00,-11.40
07/02  05:11:00,7.55,0,280.00,-11.40,4.29,0,280.00,-11.40
07/02  05:11:00,10.22,0,280.00,-11.40,6.16,0,280.00,-11.40
07/02  05:11:00,6.75,0,280.00,-11.40,9.18,0,280.00,-11.40
07/02  05:11:00,5.92,0,280.00,-11.40,9.58,0,280.00,-11.40
07/02  05:11:00,5.90,0,280.00,-11.40,8.62,0,280.00,-11.40
07/02  05:11:00,10.69,0,280.00,-11.40,6.11,0,280.00,-11.40
07/02  05:11:00,6.25,0,280.00,-11.40,8.12,0,280.00,-11.40
07/02  05:11:00,6.24,0,280.00,-11.40,9.57,0,280.00,-11.40
07/02  05:11:00,8.22,0,280.00,-11.40,5.72,0,280.00,-11.40
07/02  05:11:00,7.74,0,280.00,-11.40,9.82,0,280.00,-11.40
07/02  05:11:00,9.27,0,280.00,-11.40,6.30,0,280.00,-11.40
07/02  05:11:00,6.39,0,280.00,-11.40,8.49,0,280.00,-11.40
07/02  05:11:00,6.75,0,280.00,-11.40,9.37,0,280.00,-11.40
07/02  05:11:00,10.92,0,280.00,-11.40,7.46,0,280.00,-11.40
07/02  05:11:00,7.35,0,280.00,-11.40,4.40,0,280.00,-11.40
07/02  05:11:00,6.53,0,280.00,-11.40,9.49,0,280.00,-11.40
07/02  05:11:00,3.56,0,280.00,-11.40,9.73,0,280.00,-11.40
07/02  05:11:00,6.94,0,280.00,-11.40,9.87,0,280.00,-11.40
07/02  05:11:00,8.20,0,280.00,-11.40,5.45,0,280.00,-11.40
07/02  05:11:00,9.04,0,280.00,-11.40,6.33,0,280.00,-11.40
07/02  05:11:00,8.17,0,280.00,-11.40,4.76,0,280.00,-11.40
07/02  05:11:00,7.78,0,280.00,-11.40,9.62,0,280.00,-11.40
07/02  05:11:00,6.21,0,280.00,-11.40,9.16,0,280.00,-11.40
07/02  05:11:00,6.22,0,280.00,-11.40,8.20,0,280.00,-11.40
07/02  05:11:00,4.60,0,280.00,-11.40,9.13,0,280.00,-11.40
07/02  05:11:00,7.11,0,280.00,-11.40,4.83,0,280.00,-11.40
07/02  05:11:00,8.13,0,280.00,-11.40,4.40,0,280.00,-11.40
07/02  05:11:00,7.30,0,280.00,-11.40,4.18,0,280.00,-11.40
07/02  05:11:00,5.34,0,280.00,-11.40,8.89,0,280.00,-11.40
07/02  05:11:00,8.51,0,280.00,-11.40,4.89,0,280.00,-11.40
07/02  05:11:00,7.00,0,280.00,-11.40,8.47,0,280.00,-11.40
07/02  05:11:00,8.78,0,280.00,-11.40,5.76,0,280.00,-11.40
07/02  05:11:00,7.01,0,280.00,-11.40,4.89,0,280.00,-11.40
07/02  05:11:00,7.64,0,280.00,-11.40,4.36,0,280.00,-11.40
07/02  05:11:00,9.24,0,280.00,-11.40,6.32,0,280.00,-11.40
07/02  05:11:00,10.21,0,280.00,-11.40,8.46,0,280.00,-11.40
07/02  05:11:00,5.84,0,280.00,-11.40,8.97,0,280.00,-11.40
07/02  05:11:00,11.17,0,280.00,-11.40,6.91,0,280.00,-11.40
07/02  05:11:00,7.19,0,280.00,-11.40,4.45,0,280.00,-11.40
07/02  05:11:00,9.14,0,280.00,-11.40,8.01,0,280.00,-11.40
07/02  05:11:00,6.52,0,280.00,-11.40,9.53,0,280.00,-11.40
07/02  05:11:00,8.31,0,280.00,-11.40,5.33,0,280.00,-11.40
07/02  05:11:00,8.98,0,280.00,-11.40,7.79,0,280.00,-11.40
07/02  05:11:00,7.54,0,280.00,-11.40,4.33,0,280.00,-11.40
07/02  05:11:00,7.85,0,280.00,-11.40,4.93,0,280.00,-11.40
07/02  05:11:00,6.77,0,280.00,-11.40,9.43,0,280.00,-11.40
07/02  05:11:00,10.07,0,280.00,-11.40,6.82,0,280.00,-11.40
07/02  05:11:00,7.30,0,280.00,-11.40,5.14,0,280.00,-11.40
07/02  05:11:00,7.14,0,280.00,-11.40,8.06,0,280.00,-11.40
07/02  05:11:00,7.42,0,280.00,-11.40,4.41,0,280.00,-11.40
07/02  05:11:00,5.79,0,280.00,-11.40,8.57,0,280.00,-11.40
07/02  05:11:00,9.04,0,280.00,-11.40,6.37,0,280.00,-11.40
07/02  05:11:00,6.24,0,280.00,-11.40,9.40,0,280.00,-11.40
07/02  05:11:00,7.10,0,280.00,-11.40,9.78,0,280.00,-11.40
07/02  05:11:00,7.97,0,280.00,-11.40,4.61,0,280.00,-11.40
07/02  05:11:00,8.70,0,280.00,-11.40,5.83,0,280.00,-11.40
07/02  05:11:00,7.25,0,280.00,-11.40,8.28,0,280.00,-11.40
07/02  05:11:00,7.88,0,280.00,-11.40,5.52,0,280.00,-11.40
07/02  05:11:00,6.17,0,280.00,-11.40,9.56,0,280.00,-11.40
07/02  05:11:00,10.63,0,280.00,-11.40,7.87,0,280.00,-11.40
07/02  05:11:00,6.33,0,280.00,-11.40,9.52,0,280.00,-11.40
07/02  05:11:00,8.08,0,280.00,-11.40,4.86,0,280.00,-11.40
07/02  05:11:00,9.69,0,280.00,-11.40,6.39,0,280.00,-11.40
07/02  05:11:00,6.62,0,0.00,0.00,7.96,0,0.00,0.00
07/02  05:11:00,8.03,0,0.00,0.00,9.31,0,0.00,0.00
07/02  05:11:00,7.41,0,0.00,0.00,4.51,0,0.00,0.00
07/02  05:11:00,9.35,0,0.00,0.00,6.32,0,0.00,0.00
07/02  05:11:00,8.56,0,0.00,0.00,6.08,0,0.00,0.00
07/02  05:12:00,8.47,0,0.00,0.00,5.09,0,0.00,0.00
