date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/02  05:06:00,9.27,0,280.00,-11.40,6.39,0,280.00,-11.40
07/02  05:06:00,8.81,0,280.00,-11.40,7.43,0,280.00,-11.40
07/02  05:06:00,8.13,0,280.00,-11.40,8.27,0,280.00,-11.40
07/02  05:06:00,6.69,0,280.00,-11.40,8.23,0,280.00,-11.40
07/02  05:06:00,9.38,0,280.00,-11.40,5.91,0,280.00,-11.40
07/02  05:06:00,6.59,0,280.00,-11.40,8.38,0,280.00,-11.40
07/02  05:06:00,6.69,0,280.00,-11.40,7.29,0,280.00,-11.40
07/02  05:06:00,7.72,0,280.00,-11.40,5.90,0,280.00,-11.40
07/02  05:06:00,8.01,0,280.00,-11.40,4.87,0,280.00,-11.40
07/02  05:06:00,8.32,0,0.00,0.00,4.93,0,0.00,0.00
07/02  05:06:00,8.44,0,0.00,0.00,5.21,0,0.00,0.00
07/02  05:06:00,8.67,0,0.00,0.00,5.73,0,0.00,0.00
07/02  05:06:00,10.22,0,0.00,0.00,6.63,0,0.00,0.00
07/02  05:06:00,8.31,0,0.00,0.00,7.97,0,0.00,0.00
07/02  05:06:00,9.27,0,0.00,0.00,7.77,0,0.00,0.00
07/02  05:07:00,8.83,0,0.00,0.00,6.30,0,0.00,0.00
07/02  05:07:00,8.88,0,0.00,0.00,5.11,0,0.00,0.00
07/02  05:07:00,7.01,0,0.00,0.00,7.65,0,0.00,0.00
07/02  05:07:00,6.11,0,0.00,0.00,9.01,0,0.00,0.00
07/02  05:07:00,5.46,0,0.00,0.00,9.18,0,0.00,0.00
07/02  05:07:00,9.85,0,0.00,0.00,6.24,0,0.00,0.00
07/02  05:08:00,7.09,0,0.00,0.00,9.77,0,0.00,0.00
07/02  05:08:00,9.90,0,0.00,0.00,7.73,0,0.00,0.00
07/02  05:08:00,7.96,0,0.00,0.00,5.95,0,0.00,0.00
07/02  05:08:00,8.96,0,0.00,0.00,6.01,0,0.00,0.00
07/02  05:08:00,8.83,0,0.00,0.00,5.94,0,0.00,0.00
07/02  05:08:00,9.90,0,0.00,0.00,6.02,0,0.00,0.00
07/02  05:09:00,9.05,0,0.00,0.00,5.84,0,0.00,0.00
07/02  05:09:00,9.26,0,0.00,0.00,6.37,0,0.00,0.00
07/02  05:09:00,9.50,0,0.00,0.00,7.33,0,0.00,0.00
07/02  05:09:00,7.88,0,0.00,0.00,8.37,0,0.00,0.00
07/02  05:09:00,7.61,0,0.00,0.00,9.51,0,0.00,0.00
07/02  05:09:00,7.85,0,0.00,0.00,9.40,0,0.00,0.00
07/02  05:10:00,10.16,0,0.00,0.00,7.46,0,0.00,0.00
07/02  05:10:00,8.48,0,0.00,0.00,5.12,0,0.00,0.00
07/02  05:10:00,9.36,0,0.00,0.00,5.34,0,0.00,0.00
07/02  05:10:00,5.33,0,0.00,0.00,9.44,0,0.00,0.00
07/02  05:10:00,5.77,0,0.00,0.00,9.44,0,0.00,0.00
07/02  05:10:00,7.39,0,0.00,0.00,7.05,0,0.00,0.00
07/02  05:11:00,8.06,0,0.00,0.00,6.15,0,0.00,0.00
07/02  05:11:00,4.84,0,0.00,0.00,8.68,0,0.00,0.00
07/02  05:11:00,8.68,0,0.00,0.00,8.41,0,0.00,0.00
07/02  05:11:00,9.42,0,0.00,0.00,6.04,0,0.00,0.00
07/02  05:11:00,6.64,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:11:00,7.19,0,0.00,0.00,8.19,0,0.00,0.00
07/02  05:12:00,8.98,0,0.00,0.00,5.89,0,0.00,0.00
07/02  05:12:00,8.44,0,0.00,0.00,5.56,0,0.00,0.00
07/02  05:12:00,8.72,0,0.00,0.00,5.94,0,0.00,0.00
07/02  05:12:00,9.48,0,0.00,0.00,5.20,0,0.00,0.00
07/02  05:12:00,6.19,0,0.00,0.00,9.31,0,0.00,0.00
07/02  05:12:00,10.34,0,0.00,0.00,6.52,0,0.00,0.00
07/02  05:13:00,6.61,0,0.00,0.00,9.33,0,0.00,0.00
07/02  05:13:00,9.81,0,0.00,0.00,6.66,0,0.00,0.00
07/02  05:13:00,6.23,0,0.00,0.00,9.38,0,0.00,0.00
07/02  05:13:00,8.90,0,0.00,0.00,6.27,0,0.00,0.00
07/02  05:13:00,6.52,0,0.00,0.00,8.05,0,0.00,0.00
07/02  05:13:00,5.87,0,0.00,0.00,9.57,0,0.00,0.00
07/02  05:14:00,8.49,0,0.00,0.00,5.81,0,0.00,0.00
07/02  05:14:00,9.74,0,0.00,0.00,7.87,0,0.00,0.00
07/02  05:14:00,6.17,0,0.00,0.00,7.06,0,0.00,0.00
07/02  05:14:00,6.65,0,0.00,0.00,9.46,0,0.00,0.00
07/02  05:14:00,8.08,0,0.00,0.00,8.24,0,0.00,0.00
07/02  05:14:00,9.38,0,0.00,0.00,7.01,0,0.00,0.00
07/02  05:15:00,8.27,0,0.00,0.00,5.62,0,0.00,0.00
07/02  05:15:00,4.89,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:15:00,8.90,0,0.00,0.00,6.50,0,0.00,0.00
07/02  05:15:00,7.07,0,0.00,0.00,9.28,0,0.00,0.00
07/02  05:15:00,7.42,0,0.00,0.00,5.92,0,0.00,0.00
07/02  05:15:00,8.20,0,0.00,0.00,5.43,0,0.00,0.00
07/02  05:16:00,9.61,0,0.00,0.00,4.29,0,0.00,0.00
07/02  05:16:00,10.17,0,0.00,0.00,6.29,0,0.00,0.00
07/02  05:16:00,8.57,0,0.00,0.00,5.46,0,0.00,0.00
07/02  05:16:00,7.67,0,0.00,0.00,4.30,0,0.00,0.00
07/02  05:16:00,6.94,0,0.00,0.00,9.47,0,0.00,0.00
07/02  05:16:00,10.53,0,0.00,0.00,7.01,0,0.00,0.00
07/02  05:17:00,7.22,0,0.00,0.00,6.97,0,0.00,0.00
07/02  05:17:00,10.35,0,0.00,0.00,6.70,0,0.00,0.00
07/02  05:17:00,6.06,0,0.00,0.00,9.28,0,0.00,0.00
07/02  05:17:00,7.45,0,0.00,0.00,5.40,0,0.00,0.00
07/02  05:17:00,8.11,0,0.00,0.00,4.96,0,0.00,0.00
07/02  05:17:00,9.75,0,0.00,0.00,6.44,0,0.00,0.00
07/02  05:18:00,7.52,0,0.00,0.00,4.97,0,0.00,0.00
07/02  05:18:00,7.97,0,0.00,0.00,5.53,0,0.00,0.00
07/02  05:18:00,10.07,0,0.00,0.00,6.43,0,0.00,0.00
07/02  05:18:00,7.83,0,0.00,0.00,7.52,0,0.00,0.00
07/02  05:18:00,7.66,0,0.00,0.00,9.41,0,0.00,0.00
07/02  05:18:00,9.26,0,0.00,0.00,6.19,0,0.00,0.00
07/02  05:19:00,5.97,0,0.00,0.00,9.48,0,0.00,0.00
07/02  05:19:00,8.51,0,0.00,0.00,4.68,0,0.00,0.00
07/02  05:19:00,6.39,0,0.00,0.00,8.39,0,0.00,0.00
07/02  05:19:00,9.28,0,0.00,0.00,5.55,0,0.00,0.00
07/02  05:19:00,6.45,0,0.00,0.00,9.65,0,0.00,0.00
07/02  05:19:00,7.51,0,0.00,0.00,7.85,0,0.00,0.00
07/02  05:20:00,8.48,0,0.00,0.00,5.67,0,0.00,0.00
07/02  05:20:00,5.99,0,0.00,0.00,9.11,0,0.00,0.00
07/02  05:20:00,9.78,0,0.00,0.00,6.26,0,0.00,0.00
07/02  05:20:00,8.61,0,0.00,0.00,4.72,0,0.00,0.00
07/02  05:20:00,7.88,0,0.00,0.00,5.30,0,0.00,0.00
07/02  05:20:00,7.73,0,0.00,0.00,5.28,0,0.00,0.00
07/02  05:21:00,9.31,0,0.00,0.00,6.34,0,0.00,0.00
07/02  05:21:00,10.24,0,0.00,0.00,5.25,0,0.00,0.00
07/02  05:21:00,10.08,0,0.00,0.00,8.63,0,0.00,0.00
07/02  05:21:00,9.22,0,0.00,0.00,6.22,0,0.00,0.00
07/02  05:21:00,8.36,0,0.00,0.00,5.50,0,0.00,0.00
07/02  05:21:00,4.88,0,0.00,0.00,9.25,0,0.00,0.00
07/02  05:22:00,7.57,0,0.00,0.00,4.84,0,0.00,0.00
07/02  05:22:00,8.77,0,0.00,0.00,6.07,0,0.00,0.00
07/02  05:22:00,6.35,0,0.00,0.00,9.46,0,0.00,0.00
07/02  05:22:00,10.67,0,0.00,0.00,6.41,0,0.00,0.00
07/02  05:22:00,8.13,0,0.00,0.00,5.61,0,0.00,0.00
07/02  05:22:00,7.42,0,0.00,0.00,4.65,0,0.00,0.00
07/02  05:23:00,7.01,0,0.00,0.00,9.79,0,0.00,0.00
07/02  05:23:00,6.26,0,0.00,0.00,7.66,0,0.00,0.00
07/02  05:23:00,11.17,0,0.00,0.00,7.83,0,0.00,0.00
07/02  05:23:00,9.74,0,0.00,0.00,4.13,0,0.00,0.00
07/02  05:23:00,10.02,0,0.00,0.00,5.26,0,0.00,0.00
07/02  05:23:00,6.16,0,0.00,0.00,8.09,0,0.00,0.00
07/02  05:24:00,7.30,0,0.00,0.00,5.48,0,0.00,0.00
07/02  05:24:00,9.15,0,0.00,0.00,6.27,0,0.00,0.00
07/02  05:24:00,6.57,0,0.00,0.00,8.50,0,0.00,0.00
07/02  05:24:00,7.18,0,0.00,0.00,5.42,0,0.00,0.00
07/02  05:24:00,6.16,0,0.00,0.00,8.45,0,0.00,0.00
07/02  05:24:00,6.31,0,0.00,0.00,8.03,0,0.00,0.00
07/02  05:25:00,5.40,0,0.00,0.00,9.06,0,0.00,0.00
07/02  05:25:00,9.59,0,0.00,0.00,6.03,0,0.00,0.00
07/02  05:25:00,7.27,0,0.00,0.00,7.18,0,0.00,0.00
07/02  05:25:00,8.69,0,0.00,0.00,5.03,0,0.00,0.00
07/02  05:25:00,6.45,0,0.00,0.00,8.56,0,0.00,0.00
07/02  05:25:00,9.19,0,0.00,0.00,6.00,0,0.00,0.00
07/02  05:26:00,5.59,0,0.00,0.00,8.45,0,0.00,0.00
07/02  05:26:00,6.69,0,0.00,0.00,9.42,0,0.00,0.00
07/02  05:26:00,8.18,0,0.00,0.00,5.28,0,0.00,0.00
07/02  05:26:00,9.58,0,0.00,0.00,6.59,0,0.00,0.00
07/02  05:26:00,9.60,0,0.00,0.00,8.11,0,0.00,0.00
07/02  05:26:00,5.69,0,0.00,0.00,8.75,0,0.00,0.00
07/02  05:27:00,9.92,0,0.00,0.00,6.18,0,0.00,0.00
07/02  05:27:00,5.58,0,0.00,0.00,9.35,0,0.00,0.00
07/02  05:27:00,9.31,0,0.00,0.00,6.29,0,0.00,0.00
07/02  05:27:00,5.72,0,0.00,0.00,8.88,0,0.00,0.00
07/02  05:27:00,2.72,0,0.00,0.00,9.16,0,0.00,0.00
07/02  05:27:00,5.54,0,0.00,0.00,8.75,0,0.00,0.00
07/02  05:28:00,2.92,0,0.00,0.00,8.99,0,0.00,0.00
07/02  05:28:00,4.73,0,0.00,0.00,8.85,0,0.00,0.00
07/02  05:28:00,7.77,0,0.00,0.00,9.50,0,0.00,0.00
07/02  05:28:00,10.11,0,0.00,0.00,9.49,0,0.00,0.00
07/02  05:28:00,3.81,0,0.00,0.00,9.54,0,0.00,0.00
07/02  05:28:00,6.03,0,0.00,0.00,8.87,0,0.00,0.00
07/02  05:29:00,10.12,0,0.00,0.00,7.02,0,0.00,0.00
07/02  05:29:00,6.88,0,0.00,0.00,9.39,0,0.00,0.00
07/02  05:29:00,8.24,0,0.00,0.00,5.92,0,0.00,0.00
07/02  05:29:00,8.52,0,0.00,0.00,5.27,0,0.00,0.00
07/02  05:29:00,5.44,0,0.00,0.00,9.12,0,0.00,0.00
07/02  05:29:00,8.55,0,0.00,0.00,5.13,0,0.00,0.00
07/02  05:30:00,7.17,0,0.00,0.00,8.07,0,0.00,0.00
07/02  05:30:00,6.89,0,0.00,0.00,6.37,0,0.00,0.00
