date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/16  05:01:00,8.80,0,280.00,-11.40,5.41,0,280.00,-11.40
07/16  05:01:00,9.10,0,280.00,-11.40,6.09,0,280.00,-11.40
07/16  05:01:00,8.48,0,280.00,-11.40,5.33,0,280.00,-11.40
07/16  05:01:00,7.49,0,280.00,-11.40,4.43,0,280.00,-11.40
07/16  05:01:00,6.90,0,280.00,-11.40,9.27,0,280.00,-11.40
07/16  05:01:00,7.31,0,280.00,-11.40,5.26,0,280.00,-11.40
07/16  05:01:00,10.33,0,280.00,-11.40,7.40,0,280.00,-11.40
07/16  05:01:00,7.72,0,280.00,-11.40,5.60,0,280.00,-11.40
07/16  05:01:00,10.19,0,280.00,-11.40,7.21,0,280.00,-11.40
07/16  05:01:00,6.14,0,280.00,-11.40,9.06,0,280.00,-11.40
07/16  05:01:00,9.06,0,280.00,-11.40,6.05,0,280.00,-11.40
07/16  05:01:00,5.85,0,280.00,-11.40,9.24,0,280.00,-11.40
07/16  05:01:00,9.01,0,0.00,0.00,5.51,0,0.00,0.00
07/16  05:01:00,7.85,0,0.00,0.00,9.27,0,0.00,0.00
07/16  05:01:00,6.08,0,0.00,0.00,9.48,0,0.00,0.00
07/16  05:01:00,6.71,0,0.00,0.00,5.93,0,0.00,0.00
07/16  05:01:00,7.76,0,0.00,0.00,4.69,0,0.00,0.00
07/16  05:02:00,7.80,0,0.00,0.00,5.04,0,0.00,0.00
07/16  05:02:00,8.51,0,0.00,0.00,5.74,0,0.00,0.00
07/16  05:02:00,8.37,0,0.00,0.00,5.47,0,0.00,0.00
07/16  05:02:00,7.66,0,0.00,0.00,9.81,0,0.00,0.00
07/16  05:02:00,9.19,0,0.00,0.00,6.52,0,0.00,0.00
07/16  05:02:00,6.79,0,0.00,0.00,8.66,0,0.00,0.00
07/16  05:03:00,6.66,0,0.00,0.00,9.44,0,0.00,0.00
07/16  05:03:00,8.80,0,0.00,0.00,5.97,0,0.00,0.00
07/16  05:03:00,8.96,0,0.00,0.00,7.33,0,0.00,0.00
07/16  05:03:00,6.22,0,0.00,0.00,9.68,0,0.00,0.00
07/16  05:03:00,10.22,0,0.00,0.00,5.85,0,0.00,0.00
07/16  05:03:00,8.78,0,0.00,0.00,5.36,0,0.00,0.00
07/16  05:04:00,9.51,0,0.00,0.00,6.61,0,0.00,0.00
07/16  05:04:00,6.50,0,0.00,0.00,9.23,0,0.00,0.00
07/16  05:04:00,7.35,0,0.00,0.00,4.82,0,0.00,0.00
07/16  05:04:00,6.86,0,0.00,0.00,8.14,0,0.00,0.00
07/16  05:04:00,6.74,0,0.00,0.00,4.40,0,0.00,0.00
07/16  05:04:00,10.03,0,0.00,0.00,6.88,0,0.00,0.00
07/16  05:05:00,10.96,0,0.00,0.00,9.00,0,0.00,0.00
07/16  05:05:00,10.67,0,0.00,0.00,7.11,0,0.00,0.00
07/16  05:05:00,6.56,0,0.00,0.00,7.89,0,0.00,0.00
