date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/02  00:02:00,11.19,0,0.00,0.00,6.68,0,0.00,0.00
07/02  00:02:00,11.38,0,0.00,0.00,6.07,0,0.00,0.00
07/02  00:02:00,8.26,0,0.00,0.00,6.24,0,0.00,0.00
07/02  00:02:00,11.42,0,0.00,0.00,6.88,0,0.00,0.00
07/02  00:02:00,11.94,0,0.00,0.00,7.93,0,0.00,0.00
07/02  00:02:00,8.42,0,0.00,0.00,8.01,0,0.00,0.00
07/02  05:01:00,10.77,0,0.00,0.00,6.64,0,0.00,0.00
07/02  05:01:00,6.63,0,0.00,0.00,7.40,0,0.00,0.00
07/02  05:01:00,9.89,0,0.00,0.00,6.87,0,0.00,0.00
07/02  05:01:00,9.96,0,0.00,0.00,7.80,0,0.00,0.00
07/02  05:01:00,7.85,0,0.00,0.00,4.62,0,0.00,0.00
07/02  05:01:00,8.96,0,0.00,0.00,8.55,0,0.00,0.00
07/02  05:01:00,6.22,0,0.00,0.00,9.37,0,0.00,0.00
07/02  05:01:00,10.74,0,0.00,0.00,7.79,0,0.00,0.00
07/02  05:01:00,11.48,0,0.00,0.00,8.12,0,0.00,0.00
07/02  05:01:00,7.22,0,0.00,0.00,4.56,0,0.00,0.00
07/02  05:01:00,5.09,0,0.00,0.00,9.26,0,0.00,0.00
07/02  05:01:00,5.50,0,0.00,0.00,9.11,0,0.00,0.00
07/02  05:02:00,4.85,0,0.00,0.00,9.42,0,0.00,0.00
07/02  05:02:00,8.00,0,0.00,0.00,9.73,0,0.00,0.00
07/02  05:02:00,6.29,0,0.00,0.00,9.65,0,0.00,0.00
07/02  05:02:00,7.87,0,0.00,0.00,9.43,0,0.00,0.00
07/02  05:02:00,7.18,0,0.00,0.00,8.97,0,0.00,0.00
07/02  05:02:00,9.93,0,0.00,0.00,7.98,0,0.00,0.00
07/02  05:03:00,8.61,0,0.00,0.00,4.65,0,0.00,0.00
07/02  05:03:00,10.29,0,0.00,0.00,7.95,0,0.00,0.00
07/02  05:03:00,6.83,0,0.00,0.00,4.96,0,0.00,0.00
07/02  05:03:00,5.02,0,0.00,0.00,6.54,0,0.00,0.00
07/02  05:03:00,8.86,0,0.00,0.00,7.73,0,0.00,0.00
07/02  05:03:00,6.35,0,0.00,0.00,8.77,0,0.00,0.00
07/02  05:04:00,9.44,0,0.00,0.00,9.28,0,0.00,0.00
07/02  05:04:00,7.34,0,0.00,0.00,8.48,0,0.00,0.00
07/02  05:04:00,10.08,0,0.00,0.00,6.87,0,0.00,0.00
07/02  05:04:00,11.95,0,0.00,0.00,6.71,0,0.00,0.00
07/02  05:04:00,10.96,0,0.00,0.00,6.85,0,0.00,0.00
07/02  05:04:00,9.84,0,0.00,0.00,6.92,0,0.00,0.00
07/02  05:05:00,8.22,0,0.00,0.00,9.23,0,0.00,0.00
07/02  05:05:00,7.51,0,0.00,0.00,4.50,0,0.00,0.00
07/02  05:05:00,10.09,0,0.00,0.00,6.18,0,0.00,0.00
07/02  05:05:00,8.78,0,0.00,0.00,7.58,0,0.00,0.00
07/02  05:05:00,10.54,0,0.00,0.00,8.00,0,0.00,0.00
07/02  05:05:00,10.62,0,0.00,0.00,7.80,0,0.00,0.00
07/02  05:06:00,4.58,0,0.00,0.00,9.17,0,0.00,0.00
07/02  05:06:00,6.78,0,0.00,0.00,4.46,0,0.00,0.00
07/02  05:06:00,9.01,0,0.00,0.00,8.63,0,0.00,0.00
07/02  05:06:00,8.38,0,0.00,0.00,5.44,0,0.00,0.00
07/02  05:06:00,5.47,0,0.00,0.00,9.01,0,0.00,0.00
07/02  05:06:00,8.36,0,0.00,0.00,4.71,0,0.00,0.00
07/02  05:07:00,9.13,0,0.00,0.00,6.32,0,0.00,0.00
07/02  05:07:00,8.98,0,0.00,0.00,5.41,0,0.00,0.00
07/02  05:07:00,9.90,0,0.00,0.00,5.71,0,0.00,0.00
07/02  05:07:00,8.73,0,0.00,0.00,5.94,0,0.00,0.00
07/02  05:07:00,7.78,0,0.00,0.00,4.86,0,0.00,0.00
07/02  05:07:00,6.45,0,0.00,0.00,9.65,0,0.00,0.00
07/02  05:08:00,8.42,0,0.00,0.00,4.72,0,0.00,0.00
07/02  05:08:00,10.36,0,0.00,0.00,7.66,0,0.00,0.00
07/02  05:08:00,6.60,0,0.00,0.00,8.34,0,0.00,0.00
07/02  05:08:00,8.69,0,0.00,0.00,9.31,0,0.00,0.00
07/02  05:08:00,5.61,0,0.00,0.00,9.74,0,0.00,0.00
07/02  05:08:00,7.05,0,0.00,0.00,4.95,0,0.00,0.00
07/02  05:09:00,9.16,0,0.00,0.00,8.82,0,0.00,0.00
07/02  05:09:00,10.88,0,0.00,0.00,7.58,0,0.00,0.00
07/02  05:09:00,10.48,0,0.00,0.00,7.79,0,0.00,0.00
07/02  05:09:00,8.87,0,0.00,0.00,5.60,0,0.00,0.00
07/02  05:09:00,6.07,0,0.00,0.00,8.96,0,0.00,0.00
07/02  05:09:00,7.65,0,0.00,0.00,7.82,0,0.00,0.00
07/02  05:10:00,7.27,0,0.00,0.00,4.65,0,0.00,0.00
07/02  05:10:00,10.33,0,0.00,0.00,7.99,0,0.00,0.00
07/02  05:10:00,6.03,0,0.00,0.00,9.34,0,0.00,0.00
07/02  05:10:00,11.11,0,0.00,0.00,8.04,0,0.00,0.00
07/02  05:10:00,8.09,0,0.00,0.00,4.47,0,0.00,0.00
07/02  05:10:00,5.06,0,0.00,0.00,9.31,0,0.00,0.00
07/02  05:11:00,6.87,0,0.00,0.00,5.98,0,0.00,0.00
07/02  05:11:00,10.70,0,0.00,0.00,7.54,0,0.00,0.00
07/02  05:11:00,10.26,0,0.00,0.00,8.59,0,0.00,0.00
07/02  05:11:00,10.70,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:11:00,11.19,0,0.00,0.00,7.68,0,0.00,0.00
07/02  05:11:00,8.10,0,0.00,0.00,9.29,0,0.00,0.00
07/02  05:12:00,6.42,0,0.00,0.00,5.09,0,0.00,0.00
07/02  05:12:00,10.50,0,0.00,0.00,6.40,0,0.00,0.00
07/02  05:12:00,6.46,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:12:00,6.38,0,0.00,0.00,4.69,0,0.00,0.00
07/02  05:12:00,7.88,0,0.00,0.00,5.18,0,0.00,0.00
07/02  05:12:00,6.74,0,0.00,0.00,9.11,0,0.00,0.00
07/02  05:13:00,8.77,0,0.00,0.00,5.35,0,0.00,0.00
07/02  05:13:00,6.81,0,0.00,0.00,8.80,0,0.00,0.00
07/02  05:13:00,6.30,0,0.00,0.00,9.45,0,0.00,0.00
07/02  05:13:00,8.42,0,0.00,0.00,5.59,0,0.00,0.00
07/02  05:13:00,8.34,0,0.00,0.00,8.50,0,0.00,0.00
07/02  05:13:00,6.36,0,0.00,0.00,9.64,0,0.00,0.00
07/02  05:14:00,10.16,0,0.00,0.00,6.12,0,0.00,0.00
07/02  05:14:00,6.77,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:14:00,6.82,0,0.00,0.00,9.33,0,0.00,0.00
07/02  05:14:00,4.05,0,0.00,0.00,9.17,0,0.00,0.00
07/02  05:14:00,6.90,0,0.00,0.00,9.07,0,0.00,0.00
07/02  05:14:00,8.90,0,0.00,0.00,5.56,0,0.00,0.00
07/02  05:15:00,9.23,0,0.00,0.00,8.08,0,0.00,0.00
07/02  05:15:00,6.84,0,0.00,0.00,9.38,0,0.00,0.00
07/02  05:15:00,9.16,0,0.00,0.00,6.01,0,0.00,0.00
07/02  05:15:00,5.55,0,0.00,0.00,9.14,0,0.00,0.00
07/02  05:15:00,9.62,0,0.00,0.00,6.29,0,0.00,0.00
07/02  05:15:00,8.31,0,0.00,0.00,5.33,0,0.00,0.00
07/02  05:16:00,6.39,0,0.00,0.00,10.04,0,0.00,0.00
07/02  05:16:00,5.71,0,0.00,0.00,9.01,0,0.00,0.00
07/02  05:16:00,5.63,0,0.00,0.00,8.91,0,0.00,0.00
07/02  05:16:00,7.76,0,0.00,0.00,9.33,0,0.00,0.00
07/02  05:16:00,8.97,0,0.00,0.00,6.31,0,0.00,0.00
07/02  05:16:00,7.40,0,0.00,0.00,8.29,0,0.00,0.00
07/02  05:17:00,5.81,0,0.00,0.00,8.85,0,0.00,0.00
07/02  05:17:00,6.58,0,0.00,0.00,8.87,0,0.00,0.00
07/02  05:17:00,10.08,0,0.00,0.00,7.52,0,0.00,0.00
07/02  05:17:00,7.97,0,0.00,0.00,4.70,0,0.00,0.00
07/02  05:17:00,8.42,0,0.00,0.00,5.86,0,0.00,0.00
07/02  05:17:00,10.77,0,0.00,0.00,8.45,0,0.00,0.00
07/02  05:18:00,7.56,0,0.00,0.00,4.75,0,0.00,0.00
07/02  05:18:00,5.63,0,0.00,0.00,9.32,0,0.00,0.00
07/02  05:18:00,10.27,0,0.00,0.00,6.81,0,0.00,0.00
07/02  05:18:00,8.09,0,0.00,0.00,5.08,0,0.00,0.00
07/02  05:18:00,7.31,0,0.00,0.00,8.89,0,0.00,0.00
07/02  05:18:00,4.83,0,0.00,0.00,9.18,0,0.00,0.00
07/02  05:19:00,6.77,0,0.00,0.00,5.14,0,0.00,0.00
07/02  05:19:00,10.96,0,0.00,0.00,7.99,0,0.00,0.00
07/02  05:19:00,7.91,0,0.00,0.00,5.28,0,0.00,0.00
07/02  05:19:00,5.56,0,0.00,0.00,9.33,0,0.00,0.00
07/02  05:19:00,7.77,0,0.00,0.00,6.05,0,0.00,0.00
07/02  05:19:00,8.56,0,0.00,0.00,5.53,0,0.00,0.00
07/02  05:20:00,10.27,0,0.00,0.00,7.21,0,0.00,0.00
07/02  05:20:00,5.62,0,0.00,0.00,9.04,0,0.00,0.00
07/02  05:20:00,6.78,0,0.00,0.00,9.59,0,0.00,0.00
07/02  05:20:00,8.37,0,0.00,0.00,4.91,0,0.00,0.00
07/02  05:20:00,5.75,0,0.00,0.00,8.90,0,0.00,0.00
07/02  05:20:00,9.25,0,0.00,0.00,5.86,0,0.00,0.00
07/02  05:21:00,5.98,0,0.00,0.00,9.11,0,0.00,0.00
07/02  05:21:00,6.98,0,0.00,0.00,9.45,0,0.00,0.00
07/02  05:21:00,8.72,0,0.00,0.00,5.08,0,0.00,0.00
07/02  05:21:00,9.56,0,0.00,0.00,7.45,0,0.00,0.00
07/02  05:21:00,7.77,0,0.00,0.00,4.92,0,0.00,0.00
07/02  05:21:00,7.28,0,0.00,0.00,4.24,0,0.00,0.00
07/02  05:22:00,6.65,0,0.00,0.00,9.91,0,0.00,0.00
07/02  05:22:00,6.62,0,0.00,0.00,9.26,0,0.00,0.00
07/02  05:22:00,6.92,0,0.00,0.00,8.92,0,0.00,0.00
07/02  05:22:00,5.56,0,0.00,0.00,9.27,0,0.00,0.00
07/02  05:22:00,10.57,0,0.00,0.00,6.48,0,0.00,0.00
07/02  05:22:00,8.89,0,0.00,0.00,5.07,0,0.00,0.00
07/02  05:23:00,7.84,0,0.00,0.00,4.82,0,0.00,0.00
07/02  05:23:00,9.69,0,0.00,0.00,7.73,0,0.00,0.00
07/02  05:23:00,7.07,0,0.00,0.00,7.70,0,0.00,0.00
07/02  05:23:00,6.80,0,0.00,0.00,8.65,0,0.00,0.00
07/02  05:23:00,10.27,0,0.00,0.00,7.49,0,0.00,0.00
07/02  05:23:00,9.32,0,0.00,0.00,6.63,0,0.00,0.00
07/02  05:24:00,8.05,0,0.00,0.00,4.87,0,0.00,0.00
07/02  05:24:00,5.76,0,0.00,0.00,9.81,0,0.00,0.00
07/02  05:24:00,5.17,0,0.00,0.00,9.74,0,0.00,0.00
07/02  05:24:00,9.81,0,0.00,0.00,6.42,0,0.00,0.00
07/02  05:24:00,7.35,0,0.00,0.00,5.03,0,0.00,0.00
07/02  05:24:00,4.98,0,0.00,0.00,8.98,0,0.00,0.00
07/02  05:25:00,8.38,0,0.00,0.00,5.90,0,0.00,0.00
07/02  05:25:00,7.01,0,0.00,0.00,9.04,0,0.00,0.00
07/02  05:25:00,6.27,0,0.00,0.00,9.34,0,0.00,0.00
07/02  05:25:00,5.23,0,0.00,0.00,9.25,0,0.00,0.00
07/02  05:25:00,5.95,0,0.00,0.00,9.49,0,0.00,0.00
07/02  05:25:00,4.39,0,0.00,0.00,8.69,0,0.00,0.00
07/02  05:26:00,5.71,0,0.00,0.00,9.57,0,0.00,0.00
07/02  05:26:00,7.42,0,0.00,0.00,5.12,0,0.00,0.00
07/02  05:26:00,9.38,0,0.00,0.00,6.21,0,0.00,0.00
07/02  05:26:00,5.64,0,0.00,0.00,9.07,0,0.00,0.00
07/02  05:26:00,7.98,0,0.00,0.00,4.46,0,0.00,0.00
07/02  05:26:00,7.76,0,0.00,0.00,8.05,0,0.00,0.00
07/02  05:37:00,8.45,0,0.00,0.00,7.34,0,0.00,0.00
07/02  05:37:00,5.35,0,0.00,0.00,7.07,0,0.00,0.00
07/02  05:37:00,5.50,0,0.00,0.00,5.44,0,0.00,0.00
07/02  05:37:00,6.74,0,0.00,0.00,4.38,0,0.00,0.00
07/02  05:37:00,8.13,0,0.00,0.00,4.61,0,0.00,0.00
07/02  05:37:00,6.89,0,0.00,0.00,6.71,0,0.00,0.00
07/02  05:38:00,7.08,0,0.00,0.00,8.38,0,0.00,0.00
07/02  05:38:00,7.80,0,0.00,0.00,7.48,0,0.00,0.00
07/02  05:38:00,7.23,0,0.00,0.00,8.30,0,0.00,0.00
07/02  05:38:00,11.64,0,0.00,0.00,8.06,0,0.00,0.00
07/02  05:38:00,10.41,0,0.00,0.00,7.42,0,0.00,0.00
07/02  05:38:00,9.14,0,0.00,0.00,5.84,0,0.00,0.00
