date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
03/12  05:01:00,11.55,0,280.00,-11.40,7.08,0,280.00,-11.40
03/12  05:01:00,8.72,0,280.00,-11.40,5.26,0,280.00,-11.40
03/12  05:01:00,5.07,0,280.00,-11.40,9.05,0,280.00,-11.40
03/12  05:01:00,8.49,0,280.00,-11.40,4.97,0,280.00,-11.40
03/12  05:01:00,5.77,0,280.00,-11.40,9.26,0,280.00,-11.40
03/12  05:01:00,6.17,0,280.00,-11.40,9.22,0,280.00,-11.40
03/12  05:01:00,5.44,0,280.00,-11.40,9.05,0,280.00,-11.40
03/12  05:01:00,9.97,0,280.00,-11.40,8.07,0,280.00,-11.40
03/12  05:01:00,9.36,0,280.00,-11.40,6.88,0,280.00,-11.40
03/12  05:01:00,9.69,0,280.00,-11.40,5.82,0,280.00,-11.40
03/12  05:01:00,5.72,0,280.00,-11.40,9.24,0,280.00,-11.40
03/12  05:01:00,5.78,0,280.00,-11.40,9.53,0,280.00,-11.40
03/12  05:01:00,5.48,0,280.00,-11.40,9.19,0,280.00,-11.40
03/12  05:01:00,8.43,0,280.00,-11.40,6.14,0,280.00,-11.40
03/12  05:01:00,5.97,0,280.00,-11.40,9.36,0,280.00,-11.40
03/12  05:01:00,8.33,0,280.00,-11.40,6.01,0,280.00,-11.40
03/12  05:01:00,10.57,0,280.00,-11.40,7.85,0,280.00,-11.40
03/12  05:01:00,6.84,0,280.00,-11.40,9.35,0,280.00,-11.40
03/12  05:01:00,10.74,0,280.00,-11.40,6.24,0,280.00,-11.40
03/12  05:01:00,8.41,0,280.00,-11.40,4.77,0,280.00,-11.40
03/12  05:01:00,7.22,0,0.00,0.00,9.50,0,0.00,0.00
03/12  05:01:00,10.29,0,0.00,0.00,7.99,0,0.00,0.00
03/12  05:02:00,6.56,0,0.00,0.00,6.15,0,0.00,0.00
03/12  05:02:00,10.10,0,0.00,0.00,7.05,0,0.00,0.00
03/12  05:02:00,5.93,0,0.00,0.00,9.22,0,0.00,0.00
03/12  05:02:00,9.12,0,0.00,0.00,5.91,0,0.00,0.00
03/12  05:02:00,5.82,0,0.00,0.00,9.65,0,0.00,0.00
03/12  05:02:00,9.03,0,0.00,0.00,5.34,0,0.00,0.00
03/12  05:03:00,7.91,0,0.00,0.00,8.55,0,0.00,0.00
03/12  05:03:00,7.87,0,0.00,0.00,4.41,0,0.00,0.00
03/12  05:03:00,8.93,0,0.00,0.00,8.03,0,0.00,0.00
03/12  05:03:00,7.49,0,0.00,0.00,6.24,0,0.00,0.00
03/12  05:03:00,9.52,0,0.00,0.00,5.81,0,0.00,0.00
03/12  05:03:00,5.67,0,0.00,0.00,9.72,0,0.00,0.00
03/12  05:04:00,9.15,0,0.00,0.00,5.81,0,0.00,0.00
03/12  05:04:00,10.15,0,0.00,0.00,7.63,0,0.00,0.00
03/12  05:04:00,5.96,0,0.00,0.00,8.94,0,0.00,0.00
03/12  05:04:00,6.51,0,0.00,0.00,8.66,0,0.00,0.00
03/12  05:04:00,5.87,0,0.00,0.00,9.09,0,0.00,0.00
03/12  05:04:00,6.50,0,0.00,0.00,9.45,0,0.00,0.00
03/12  05:05:00,7.58,0,0.00,0.00,4.86,0,0.00,0.00
03/12  05:05:00,10.52,0,0.00,0.00,8.42,0,0.00,0.00
03/12  05:05:00,8.04,0,0.00,0.00,4.85,0,0.00,0.00
03/12  05:05:00,6.92,0,0.00,0.00,10.14,0,0.00,0.00
03/12  05:05:00,8.04,0,0.00,0.00,4.74,0,0.00,0.00
03/12  05:05:00,8.85,0,0.00,0.00,5.41,0,0.00,0.00
03/12  05:06:00,9.39,0,0.00,0.00,6.00,0,0.00,0.00
03/12  05:06:00,10.35,0,0.00,0.00,6.71,0,0.00,0.00
03/12  05:06:00,10.35,0,0.00,0.00,8.81,0,0.00,0.00
03/12  05:06:00,10.14,0,0.00,0.00,6.47,0,0.00,0.00
03/12  05:06:00,9.88,0,0.00,0.00,7.62,0,0.00,0.00
03/12  05:06:00,6.16,0,0.00,0.00,9.43,0,0.00,0.00
03/12  05:07:00,9.69,0,0.00,0.00,5.77,0,0.00,0.00
03/12  05:07:00,6.93,0,0.00,0.00,4.76,0,0.00,0.00
03/12  05:07:00,5.85,0,0.00,0.00,8.56,0,0.00,0.00
03/12  05:07:00,6.68,0,0.00,0.00,9.55,0,0.00,0.00
03/12  05:07:00,5.26,0,0.00,0.00,8.75,0,0.00,0.00
03/12  05:07:00,10.79,0,0.00,0.00,8.69,0,0.00,0.00
03/12  05:08:00,9.84,0,0.00,0.00,6.39,0,0.00,0.00
03/12  05:08:00,10.89,0,0.00,0.00,7.11,0,0.00,0.00
03/12  05:08:00,7.78,0,0.00,0.00,4.86,0,0.00,0.00
03/12  05:08:00,7.64,0,0.00,0.00,4.83,0,0.00,0.00
03/12  05:08:00,9.41,0,0.00,0.00,6.07,0,0.00,0.00
03/12  05:08:00,8.65,0,0.00,0.00,5.87,0,0.00,0.00
03/12  05:09:00,5.51,0,0.00,0.00,9.98,0,0.00,0.00
03/12  05:09:00,6.66,0,0.00,0.00,7.42,0,0.00,0.00
03/12  05:09:00,7.25,0,0.00,0.00,4.24,0,0.00,0.00
03/12  05:09:00,6.10,0,0.00,0.00,9.35,0,0.00,0.00
03/12  05:09:00,9.91,0,0.00,0.00,7.95,0,0.00,0.00
03/12  05:09:00,5.49,0,0.00,0.00,8.85,0,0.00,0.00
03/12  05:10:00,7.50,0,0.00,0.00,4.69,0,0.00,0.00
03/12  05:10:00,7.26,0,0.00,0.00,9.47,0,0.00,0.00
03/12  05:10:00,5.98,0,0.00,0.00,9.24,0,0.00,0.00
03/12  05:10:00,8.35,0,0.00,0.00,5.93,0,0.00,0.00
03/12  05:10:00,8.52,0,0.00,0.00,5.77,0,0.00,0.00
03/12  05:10:00,8.35,0,0.00,0.00,5.32,0,0.00,0.00
03/12  05:11:00,6.95,0,0.00,0.00,9.53,0,0.00,0.00
03/12  05:11:00,6.02,0,0.00,0.00,9.23,0,0.00,0.00
03/12  05:11:00,5.58,0,0.00,0.00,9.39,0,0.00,0.00
03/12  05:11:00,5.96,0,0.00,0.00,9.77,0,0.00,0.00
03/12  05:11:00,7.45,0,0.00,0.00,9.47,0,0.00,0.00
03/12  05:11:00,8.42,0,0.00,0.00,6.04,0,0.00,0.00
03/12  05:12:00,6.08,0,0.00,0.00,9.44,0,0.00,0.00
03/12  05:12:00,8.59,0,0.00,0.00,6.17,0,0.00,0.00
03/12  05:12:00,6.13,0,0.00,0.00,9.07,0,0.00,0.00
03/12  05:12:00,8.97,0,0.00,0.00,6.11,0,0.00,0.00
03/12  05:12:00,6.34,0,0.00,0.00,9.32,0,0.00,0.00
03/12  05:12:00,7.71,0,0.00,0.00,9.02,0,0.00,0.00
03/12  05:13:00,8.69,0,0.00,0.00,5.20,0,0.00,0.00
03/12  05:13:00,6.34,0,0.00,0.00,9.18,0,0.00,0.00
