date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
06/26  05:01:00,6.94,0,280.00,-11.40,5.62,0,280.00,-11.40
06/26  05:01:00,6.00,0,280.00,-11.40,9.11,0,280.00,-11.40
06/26  05:01:00,8.48,0,280.00,-11.40,5.84,0,280.00,-11.40
06/26  05:01:00,10.10,0,280.00,-11.40,6.26,0,280.00,-11.40
06/26  05:01:00,7.58,0,280.00,-11.40,4.42,0,280.00,-11.40
06/26  05:01:00,10.30,0,280.00,-11.40,6.69,0,280.00,-11.40
06/26  05:01:00,10.10,0,280.00,-11.40,6.50,0,280.00,-11.40
06/26  05:01:00,6.13,0,280.00,-11.40,9.19,0,280.00,-11.40
06/26  05:01:00,9.65,0,280.00,-11.40,6.15,0,280.00,-11.40
06/26  05:01:00,8.18,0,280.00,-11.40,4.94,0,280.00,-11.40
06/26  05:01:00,9.39,0,280.00,-11.40,6.06,0,280.00,-11.40
06/26  05:01:00,6.05,0,280.00,-11.40,9.17,0,280.00,-11.40
06/26  05:01:00,6.11,0,280.00,-11.40,9.21,0,280.00,-11.40
06/26  05:01:00,9.15,0,280.00,-11.40,6.34,0,280.00,-11.40
06/26  05:01:00,9.20,0,280.00,-11.40,6.31,0,280.00,-11.40
06/26  05:01:00,5.97,0,280.00,-11.40,9.07,0,280.00,-11.40
06/26  05:01:00,5.33,0,280.00,-11.40,9.07,0,280.00,-11.40
06/26  05:01:00,7.74,0,280.00,-11.40,5.36,0,280.00,-11.40
06/26  05:01:00,6.96,0,280.00,-11.40,9.14,0,280.00,-11.40
06/26  05:01:00,7.62,0,0.00,0.00,6.43,0,0.00,0.00
06/26  05:01:00,9.75,0,0.00,0.00,7.59,0,0.00,0.00
06/26  05:01:00,6.24,0,0.00,0.00,8.33,0,0.00,0.00
06/26  05:02:00,7.18,0,0.00,0.00,6.84,0,0.00,0.00
06/26  05:02:00,9.54,0,0.00,0.00,6.12,0,0.00,0.00
06/26  05:02:00,8.72,0,0.00,0.00,7.77,0,0.00,0.00
06/26  05:02:00,6.85,0,0.00,0.00,9.54,0,0.00,0.00
06/26  05:02:00,10.42,0,0.00,0.00,5.90,0,0.00,0.00
06/26  05:02:00,10.42,0,0.00,0.00,4.51,0,0.00,0.00
06/26  05:03:00,8.14,0,0.00,0.00,5.11,0,0.00,0.00
06/26  05:03:00,9.97,0,0.00,0.00,6.60,0,0.00,0.00
06/26  05:03:00,7.17,0,0.00,0.00,4.74,0,0.00,0.00
06/26  05:03:00,5.68,0,0.00,0.00,8.47,0,0.00,0.00
06/26  05:03:00,8.38,0,0.00,0.00,4.76,0,0.00,0.00
06/26  05:03:00,6.46,0,0.00,0.00,8.70,0,0.00,0.00
06/26  05:04:00,8.79,0,0.00,0.00,5.42,0,0.00,0.00
06/26  05:04:00,7.93,0,0.00,0.00,9.29,0,0.00,0.00
06/26  05:04:00,3.73,0,0.00,0.00,9.45,0,0.00,0.00
06/26  05:04:00,8.33,0,0.00,0.00,5.27,0,0.00,0.00
06/26  05:04:00,7.68,0,0.00,0.00,9.21,0,0.00,0.00
06/26  05:04:00,10.53,0,0.00,0.00,6.37,0,0.00,0.00
06/26  05:05:00,6.66,0,0.00,0.00,9.02,0,0.00,0.00
06/26  05:05:00,9.48,0,0.00,0.00,5.28,0,0.00,0.00
06/26  05:05:00,5.57,0,0.00,0.00,9.16,0,0.00,0.00
06/26  05:05:00,6.71,0,0.00,0.00,4.55,0,0.00,0.00
06/26  05:05:00,8.03,0,0.00,0.00,8.08,0,0.00,0.00
06/26  05:05:00,9.15,0,0.00,0.00,5.22,0,0.00,0.00
