date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
06/26  05:01:00,8.06,0,280.00,-11.40,4.97,0,280.00,-11.40
06/26  05:01:00,9.61,0,280.00,-11.40,6.86,0,280.00,-11.40
06/26  05:01:00,6.49,0,280.00,-11.40,8.93,0,280.00,-11.40
06/26  05:01:00,6.82,0,280.00,-11.40,7.84,0,280.00,-11.40
06/26  05:01:00,8.54,0,280.00,-11.40,5.65,0,280.00,-11.40
06/26  05:01:00,7.42,0,280.00,-11.40,5.80,0,280.00,-11.40
06/26  05:01:00,8.86,0,280.00,-11.40,5.69,0,280.00,-11.40
06/26  05:01:00,7.08,0,280.00,-11.40,6.23,0,280.00,-11.40
06/26  05:01:00,6.63,0,280.00,-11.40,7.61,0,280.00,-11.40
06/26  05:01:00,7.41,0,280.00,-11.40,5.12,0,280.00,-11.40
06/26  05:01:00,8.84,0,280.00,-11.40,6.04,0,280.00,-11.40
06/26  05:01:00,8.79,0,280.00,-11.40,7.44,0,280.00,-11.40
06/26  05:01:00,6.48,0,280.00,-11.40,9.40,0,280.00,-11.40
06/26  05:01:00,10.15,0,280.00,-11.40,6.91,0,280.00,-11.40
06/26  05:01:00,7.45,0,280.00,-11.40,6.91,0,280.00,-11.40
06/26  05:01:00,5.68,0,0.00,0.00,9.34,0,0.00,0.00
06/26  05:02:00,5.22,0,0.00,0.00,9.34,0,0.00,0.00
06/26  05:02:00,8.75,0,0.00,0.00,6.28,0,0.00,0.00
06/26  05:02:00,8.09,0,0.00,0.00,4.43,0,0.00,0.00
06/26  05:02:00,6.15,0,0.00,0.00,8.64,0,0.00,0.00
06/26  05:02:00,7.77,0,0.00,0.00,5.07,0,0.00,0.00
06/26  05:02:00,6.74,0,0.00,0.00,8.01,0,0.00,0.00
06/26  05:03:00,8.85,0,0.00,0.00,6.55,0,0.00,0.00
06/26  05:03:00,7.04,0,0.00,0.00,9.04,0,0.00,0.00
06/26  05:03:00,9.39,0,0.00,0.00,6.48,0,0.00,0.00
06/26  05:03:00,6.64,0,0.00,0.00,8.87,0,0.00,0.00
06/26  05:03:00,6.43,0,0.00,0.00,8.04,0,0.00,0.00
06/26  05:03:00,8.40,0,0.00,0.00,5.01,0,0.00,0.00
06/26  05:04:00,9.79,0,0.00,0.00,6.68,0,0.00,0.00
06/26  05:04:00,8.93,0,0.00,0.00,5.91,0,0.00,0.00
06/26  05:04:00,10.33,0,0.00,0.00,7.79,0,0.00,0.00
06/26  05:04:00,6.54,0,0.00,0.00,8.19,0,0.00,0.00
06/26  05:04:00,7.28,0,0.00,0.00,4.60,0,0.00,0.00
06/26  05:04:00,10.15,0,0.00,0.00,6.87,0,0.00,0.00
06/26  05:05:00,7.04,0,0.00,0.00,9.37,0,0.00,0.00
06/26  05:05:00,9.59,0,0.00,0.00,5.97,0,0.00,0.00
06/26  05:05:00,7.18,0,0.00,0.00,9.59,0,0.00,0.00
06/26  05:05:00,6.78,0,0.00,0.00,8.03,0,0.00,0.00
06/26  05:05:00,10.53,0,0.00,0.00,4.98,0,0.00,0.00
06/26  05:05:00,8.98,0,0.00,0.00,5.04,0,0.00,0.00
06/26  05:06:00,6.22,0,0.00,0.00,10.01,0,0.00,0.00
06/26  05:06:00,7.45,0,0.00,0.00,9.68,0,0.00,0.00
06/26  05:06:00,8.34,0,0.00,0.00,5.30,0,0.00,0.00
06/26  05:06:00,8.78,0,0.00,0.00,7.84,0,0.00,0.00
06/26  05:06:00,7.42,0,0.00,0.00,9.46,0,0.00,0.00
06/26  05:06:00,8.36,0,0.00,0.00,5.06,0,0.00,0.00
06/26  05:07:00,9.80,0,0.00,0.00,6.42,0,0.00,0.00
06/26  05:07:00,6.50,0,0.00,0.00,8.23,0,0.00,0.00
06/26  05:07:00,7.08,0,0.00,0.00,8.26,0,0.00,0.00
06/26  05:07:00,7.02,0,0.00,0.00,8.07,0,0.00,0.00
06/26  05:07:00,7.90,0,0.00,0.00,4.52,0,0.00,0.00
06/26  05:07:00,7.10,0,0.00,0.00,9.47,0,0.00,0.00
06/26  05:08:00,3.02,0,0.00,0.00,9.21,0,0.00,0.00
06/26  05:08:00,5.11,0,0.00,0.00,9.21,0,0.00,0.00
06/26  05:08:00,6.44,0,0.00,0.00,8.70,0,0.00,0.00
06/26  05:08:00,6.64,0,0.00,0.00,9.65,0,0.00,0.00
06/26  05:08:00,9.21,0,0.00,0.00,6.13,0,0.00,0.00
06/26  05:08:00,7.77,0,0.00,0.00,9.83,0,0.00,0.00
06/26  05:09:00,8.31,0,0.00,0.00,5.05,0,0.00,0.00
06/26  05:09:00,9.53,0,0.00,0.00,6.54,0,0.00,0.00
06/26  05:09:00,8.55,0,0.00,0.00,5.68,0,0.00,0.00
06/26  05:09:00,9.96,0,0.00,0.00,6.57,0,0.00,0.00
06/26  05:09:00,8.61,0,0.00,0.00,8.61,0,0.00,0.00
06/26  05:09:00,10.52,0,0.00,0.00,7.70,0,0.00,0.00
06/26  05:10:00,9.32,0,0.00,0.00,6.64,0,0.00,0.00
06/26  05:10:00,9.13,0,0.00,0.00,6.14,0,0.00,0.00
06/26  05:10:00,7.20,0,0.00,0.00,4.52,0,0.00,0.00
06/26  05:10:00,6.36,0,0.00,0.00,9.20,0,0.00,0.00
06/26  05:10:00,7.45,0,0.00,0.00,9.55,0,0.00,0.00
06/26  05:10:00,8.42,0,0.00,0.00,5.53,0,0.00,0.00
06/26  05:11:00,7.66,0,0.00,0.00,5.19,0,0.00,0.00
06/26  05:11:00,7.37,0,0.00,0.00,5.13,0,0.00,0.00
06/26  05:11:00,6.44,0,0.00,0.00,4.92,0,0.00,0.00
06/26  05:11:00,7.68,0,0.00,0.00,9.33,0,0.00,0.00
06/26  05:11:00,9.43,0,0.00,0.00,6.73,0,0.00,0.00
06/26  05:11:00,7.03,0,0.00,0.00,4.33,0,0.00,0.00
06/26  05:12:00,8.26,0,0.00,0.00,4.52,0,0.00,0.00
06/26  05:12:00,9.03,0,0.00,0.00,8.03,0,0.00,0.00
06/26  05:12:00,7.06,0,0.00,0.00,4.56,0,0.00,0.00
06/26  05:12:00,7.70,0,0.00,0.00,9.62,0,0.00,0.00
06/26  05:12:00,8.80,0,0.00,0.00,6.54,0,0.00,0.00
06/26  05:12:00,8.45,0,0.00,0.00,9.01,0,0.00,0.00
06/26  05:13:00,9.58,0,0.00,0.00,6.56,0,0.00,0.00
06/26  05:13:00,9.92,0,0.00,0.00,4.09,0,0.00,0.00
06/26  05:13:00,9.15,0,0.00,0.00,6.34,0,0.00,0.00
06/26  05:13:00,10.60,0,0.00,0.00,7.37,0,0.00,0.00
06/26  05:13:00,6.63,0,0.00,0.00,9.20,0,0.00,0.00
06/26  05:13:00,5.76,0,0.00,0.00,9.00,0,0.00,0.00
06/26  05:14:00,7.56,0,0.00,0.00,4.51,0,0.00,0.00
06/26  05:14:00,9.92,0,0.00,0.00,6.39,0,0.00,0.00
06/26  05:14:00,6.30,0,0.00,0.00,8.15,0,0.00,0.00
06/26  05:14:00,6.76,0,0.00,0.00,9.50,0,0.00,0.00
06/26  05:14:00,7.78,0,0.00,0.00,4.96,0,0.00,0.00
06/26  05:14:00,9.62,0,0.00,0.00,6.46,0,0.00,0.00
06/26  05:15:00,6.10,0,0.00,0.00,4.96,0,0.00,0.00
06/26  05:15:00,6.45,0,0.00,0.00,8.41,0,0.00,0.00
06/26  05:15:00,8.09,0,0.00,0.00,5.01,0,0.00,0.00
06/26  05:15:00,8.97,0,0.00,0.00,6.35,0,0.00,0.00
06/26  05:15:00,7.89,0,0.00,0.00,5.04,0,0.00,0.00
06/26  05:15:00,8.29,0,0.00,0.00,5.10,0,0.00,0.00
06/26  05:16:00,9.56,0,0.00,0.00,6.71,0,0.00,0.00
06/26  05:16:00,5.97,0,0.00,0.00,8.44,0,0.00,0.00
06/26  05:16:00,8.31,0,0.00,0.00,4.79,0,0.00,0.00
06/26  05:16:00,9.49,0,0.00,0.00,7.43,0,0.00,0.00
06/26  05:16:00,9.50,0,0.00,0.00,8.20,0,0.00,0.00
06/26  05:16:00,10.37,0,0.00,0.00,6.65,0,0.00,0.00
06/26  05:17:00,10.03,0,0.00,0.00,6.42,0,0.00,0.00
06/26  05:17:00,5.32,0,0.00,0.00,9.24,0,0.00,0.00
06/26  05:17:00,6.77,0,0.00,0.00,8.30,0,0.00,0.00
06/26  05:17:00,8.80,0,0.00,0.00,4.90,0,0.00,0.00
06/26  05:17:00,9.50,0,0.00,0.00,6.52,0,0.00,0.00
06/26  05:17:00,8.60,0,0.00,0.00,4.33,0,0.00,0.00
06/26  05:18:00,10.13,0,0.00,0.00,6.94,0,0.00,0.00
06/26  05:18:00,6.85,0,0.00,0.00,5.88,0,0.00,0.00
06/26  05:18:00,10.80,0,0.00,0.00,6.67,0,0.00,0.00
06/26  05:18:00,6.64,0,0.00,0.00,9.02,0,0.00,0.00
06/26  05:18:00,8.13,0,0.00,0.00,5.20,0,0.00,0.00
06/26  05:18:00,9.15,0,0.00,0.00,6.06,0,0.00,0.00
06/26  05:19:00,6.72,0,0.00,0.00,9.19,0,0.00,0.00
06/26  05:19:00,7.08,0,0.00,0.00,9.54,0,0.00,0.00
06/26  05:19:00,7.02,0,0.00,0.00,9.14,0,0.00,0.00
06/26  05:19:00,10.54,0,0.00,0.00,7.23,0,0.00,0.00
06/26  05:19:00,6.60,0,0.00,0.00,9.51,0,0.00,0.00
06/26  05:19:00,9.94,0,0.00,0.00,7.29,0,0.00,0.00
06/26  05:20:00,6.61,0,0.00,0.00,6.07,0,0.00,0.00
06/26  05:20:00,8.31,0,0.00,0.00,7.36,0,0.00,0.00
06/26  05:20:00,7.57,0,0.00,0.00,4.25,0,0.00,0.00
06/26  05:20:00,9.44,0,0.00,0.00,6.46,0,0.00,0.00
06/26  05:20:00,8.23,0,0.00,0.00,9.81,0,0.00,0.00
06/26  05:20:00,10.48,0,0.00,0.00,6.72,0,0.00,0.00
06/26  05:21:00,6.40,0,0.00,0.00,9.63,0,0.00,0.00
06/26  05:21:00,7.79,0,0.00,0.00,4.33,0,0.00,0.00
06/26  05:21:00,7.05,0,0.00,0.00,8.47,0,0.00,0.00
06/26  05:21:00,7.82,0,0.00,0.00,7.96,0,0.00,0.00
06/26  05:21:00,8.93,0,0.00,0.00,6.58,0,0.00,0.00
06/26  05:21:00,5.40,0,0.00,0.00,8.91,0,0.00,0.00
06/26  05:22:00,5.06,0,0.00,0.00,8.73,0,0.00,0.00
06/26  05:22:00,9.98,0,0.00,0.00,7.02,0,0.00,0.00
06/26  05:22:00,7.90,0,0.00,0.00,8.17,0,0.00,0.00
06/26  05:22:00,6.74,0,0.00,0.00,6.96,0,0.00,0.00
06/26  05:22:00,6.24,0,0.00,0.00,8.49,0,0.00,0.00
06/26  05:22:00,8.53,0,0.00,0.00,5.70,0,0.00,0.00
06/26  05:23:00,8.93,0,0.00,0.00,4.68,0,0.00,0.00
06/26  05:23:00,5.05,0,0.00,0.00,9.09,0,0.00,0.00
06/26  05:23:00,7.83,0,0.00,0.00,5.35,0,0.00,0.00
06/26  05:23:00,7.95,0,0.00,0.00,9.43,0,0.00,0.00
06/26  05:23:00,7.10,0,0.00,0.00,9.14,0,0.00,0.00
06/26  05:23:00,7.33,0,0.00,0.00,4.85,0,0.00,0.00
06/26  05:24:00,7.72,0,0.00,0.00,5.11,0,0.00,0.00
06/26  05:24:00,7.74,0,0.00,0.00,6.18,0,0.00,0.00
06/26  05:24:00,6.05,0,0.00,0.00,8.81,0,0.00,0.00
06/26  05:24:00,7.47,0,0.00,0.00,9.47,0,0.00,0.00
06/26  05:24:00,7.32,0,0.00,0.00,8.31,0,0.00,0.00
06/26  05:24:00,7.60,0,0.00,0.00,5.61,0,0.00,0.00
06/26  05:25:00,7.53,0,0.00,0.00,8.12,0,0.00,0.00
06/26  05:25:00,8.27,0,0.00,0.00,5.77,0,0.00,0.00
06/26  05:25:00,5.79,0,0.00,0.00,9.22,0,0.00,0.00
06/26  05:25:00,6.71,0,0.00,0.00,9.10,0,0.00,0.00
06/26  05:25:00,6.72,0,0.00,0.00,7.32,0,0.00,0.00
06/26  05:25:00,5.69,0,0.00,0.00,8.33,0,0.00,0.00
06/26  05:26:00,6.49,0,0.00,0.00,8.92,0,0.00,0.00
06/26  05:26:00,6.92,0,0.00,0.00,7.87,0,0.00,0.00
06/26  05:26:00,7.30,0,0.00,0.00,8.32,0,0.00,0.00
06/26  05:26:00,7.13,0,0.00,0.00,8.89,0,0.00,0.00
06/26  05:26:00,6.64,0,0.00,0.00,8.27,0,0.00,0.00
06/26  05:26:00,6.93,0,0.00,0.00,4.49,0,0.00,0.00
06/26  05:27:00,7.38,0,0.00,0.00,4.92,0,0.00,0.00
06/26  05:27:00,8.39,0,0.00,0.00,5.44,0,0.00,0.00
06/26  05:27:00,9.72,0,0.00,0.00,6.78,0,0.00,0.00
06/26  05:27:00,8.82,0,0.00,0.00,6.84,0,0.00,0.00
06/26  05:27:00,6.01,0,0.00,0.00,9.63,0,0.00,0.00
06/26  05:27:00,7.98,0,0.00,0.00,5.47,0,0.00,0.00
06/26  05:28:00,7.75,0,0.00,0.00,5.41,0,0.00,0.00
06/26  05:28:00,9.94,0,0.00,0.00,6.19,0,0.00,0.00
06/26  05:28:00,8.97,0,0.00,0.00,7.31,0,0.00,0.00
06/26  05:28:00,9.88,0,0.00,0.00,6.58,0,0.00,0.00
06/26  05:28:00,10.19,0,0.00,0.00,6.56,0,0.00,0.00
06/26  05:28:00,6.94,0,0.00,0.00,8.40,0,0.00,0.00
06/26  05:29:00,5.98,0,0.00,0.00,8.60,0,0.00,0.00
06/26  05:29:00,6.38,0,0.00,0.00,9.29,0,0.00,0.00
06/26  05:29:00,8.06,0,0.00,0.00,7.60,0,0.00,0.00
06/26  05:29:00,8.78,0,0.00,0.00,7.60,0,0.00,0.00
06/26  05:29:00,7.46,0,0.00,0.00,8.25,0,0.00,0.00
06/26  05:29:00,6.73,0,0.00,0.00,7.56,0,0.00,0.00
06/26  05:30:00,5.13,0,0.00,0.00,7.84,0,0.00,0.00
06/26  05:30:00,6.96,0,0.00,0.00,8.89,0,0.00,0.00
06/26  05:30:00,7.56,0,0.00,0.00,7.90,0,0.00,0.00
06/26  05:30:00,8.87,0,0.00,0.00,7.22,0,0.00,0.00
06/26  05:30:00,5.49,0,0.00,0.00,8.49,0,0.00,0.00
06/26  05:30:00,7.87,0,0.00,0.00,5.18,0,0.00,0.00
06/26  05:31:00,7.21,0,0.00,0.00,7.01,0,0.00,0.00
06/26  05:31:00,7.11,0,0.00,0.00,5.46,0,0.00,0.00
06/26  05:31:00,9.63,0,0.00,0.00,7.47,0,0.00,0.00
06/26  05:31:00,6.20,0,0.00,0.00,7.00,0,0.00,0.00
06/26  05:31:00,11.37,0,0.00,0.00,6.77,0,0.00,0.00
06/26  05:31:00,4.95,0,0.00,0.00,8.35,0,0.00,0.00
06/26  05:32:00,8.11,0,0.00,0.00,6.74,0,0.00,0.00
06/26  05:32:00,7.38,0,0.00,0.00,7.59,0,0.00,0.00
06/26  05:32:00,8.57,0,0.00,0.00,6.04,0,0.00,0.00
06/26  05:32:00,9.35,0,0.00,0.00,6.87,0,0.00,0.00
06/26  05:32:00,7.41,0,0.00,0.00,7.54,0,0.00,0.00
06/26  05:32:00,7.67,0,0.00,0.00,5.18,0,0.00,0.00
06/26  05:33:00,8.36,0,0.00,0.00,5.70,0,0.00,0.00
06/26  05:33:00,7.56,0,0.00,0.00,8.01,0,0.00,0.00
06/26  05:33:00,5.60,0,0.00,0.00,9.23,0,0.00,0.00
06/26  05:33:00,6.42,0,0.00,0.00,4.70,0,0.00,0.00
06/26  05:33:00,7.05,0,0.00,0.00,8.10,0,0.00,0.00
06/26  05:33:00,6.63,0,0.00,0.00,8.45,0,0.00,0.00
06/26  05:34:00,6.30,0,0.00,0.00,9.07,0,0.00,0.00
06/26  05:34:00,6.88,0,0.00,0.00,7.67,0,0.00,0.00
06/26  05:34:00,9.14,0,0.00,0.00,5.93,0,0.00,0.00
06/26  05:34:00,9.74,0,0.00,0.00,6.93,0,0.00,0.00
