date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
07/10  05:01:00,11.01,0,280.00,-11.40,7.69,0,280.00,-11.40
07/10  05:01:00,5.91,0,280.00,-11.40,9.18,0,280.00,-11.40
07/10  05:01:00,6.42,0,280.00,-11.40,4.22,0,280.00,-11.40
07/10  05:01:00,10.70,0,280.00,-11.40,7.28,0,280.00,-11.40
07/10  05:01:00,6.57,0,280.00,-11.40,9.29,0,280.00,-11.40
07/10  05:01:00,6.75,0,280.00,-11.40,4.03,0,280.00,-11.40
07/10  05:01:00,8.85,0,280.00,-11.40,5.83,0,280.00,-11.40
07/10  05:01:00,10.52,0,280.00,-11.40,8.56,0,280.00,-11.40
07/10  05:01:00,7.22,0,280.00,-11.40,9.19,0,280.00,-11.40
07/10  05:01:00,7.94,0,0.00,0.00,9.25,0,0.00,0.00
07/10  05:01:00,5.34,0,0.00,0.00,8.78,0,0.00,0.00
07/10  05:01:00,10.49,0,0.00,0.00,8.32,0,0.00,0.00
07/10  05:01:00,7.82,0,0.00,0.00,5.30,0,0.00,0.00
07/10  05:01:00,7.11,0,0.00,0.00,8.81,0,0.00,0.00
07/10  05:01:00,11.47,0,0.00,0.00,8.80,0,0.00,0.00
07/10  05:02:00,10.83,0,0.00,0.00,8.14,0,0.00,0.00
07/10  05:02:00,9.58,0,0.00,0.00,7.32,0,0.00,0.00
07/10  05:02:00,6.90,0,0.00,0.00,9.51,0,0.00,0.00
07/10  05:02:00,7.28,0,0.00,0.00,4.46,0,0.00,0.00
07/10  05:02:00,8.82,0,0.00,0.00,6.05,0,0.00,0.00
07/10  05:02:00,6.19,0,0.00,0.00,9.08,0,0.00,0.00
07/10  05:03:00,6.45,0,0.00,0.00,7.72,0,0.00,0.00
07/10  05:03:00,8.05,0,0.00,0.00,5.50,0,0.00,0.00
07/10  05:03:00,11.00,0,0.00,0.00,8.24,0,0.00,0.00
07/10  05:03:00,7.78,0,0.00,0.00,4.34,0,0.00,0.00
07/10  05:03:00,9.29,0,0.00,0.00,8.84,0,0.00,0.00
07/10  05:03:00,7.37,0,0.00,0.00,5.25,0,0.00,0.00
07/10  05:04:00,7.12,0,0.00,0.00,9.56,0,0.00,0.00
07/10  05:04:00,8.38,0,0.00,0.00,5.64,0,0.00,0.00
07/10  05:04:00,6.72,0,0.00,0.00,5.88,0,0.00,0.00
07/10  05:04:00,7.30,0,0.00,0.00,8.87,0,0.00,0.00
07/10  05:04:00,8.18,0,0.00,0.00,5.90,0,0.00,0.00
07/10  05:04:00,6.24,0,0.00,0.00,9.44,0,0.00,0.00
07/10  05:05:00,10.48,0,0.00,0.00,8.26,0,0.00,0.00
07/10  05:05:00,9.59,0,0.00,0.00,6.45,0,0.00,0.00
07/10  05:05:00,10.59,0,0.00,0.00,8.24,0,0.00,0.00
07/10  05:05:00,6.85,0,0.00,0.00,4.77,0,0.00,0.00
07/10  05:05:00,4.63,0,0.00,0.00,9.09,0,0.00,0.00
07/10  05:05:00,10.52,0,0.00,0.00,8.34,0,0.00,0.00
07/10  05:06:00,5.98,0,0.00,0.00,9.02,0,0.00,0.00
07/10  05:06:00,7.99,0,0.00,0.00,9.34,0,0.00,0.00
07/10  05:06:00,5.99,0,0.00,0.00,9.40,0,0.00,0.00
07/10  05:06:00,6.06,0,0.00,0.00,4.47,0,0.00,0.00
07/10  05:06:00,6.81,0,0.00,0.00,4.19,0,0.00,0.00
07/10  05:06:00,7.15,0,0.00,0.00,4.25,0,0.00,0.00
07/10  05:07:00,6.23,0,0.00,0.00,9.72,0,0.00,0.00
07/10  05:07:00,5.98,0,0.00,0.00,8.84,0,0.00,0.00
07/10  05:07:00,10.04,0,0.00,0.00,7.40,0,0.00,0.00
07/10  05:07:00,9.07,0,0.00,0.00,6.08,0,0.00,0.00
07/10  05:07:00,7.04,0,0.00,0.00,4.34,0,0.00,0.00
07/10  05:07:00,7.71,0,0.00,0.00,4.87,0,0.00,0.00
07/10  05:08:00,8.13,0,0.00,0.00,8.92,0,0.00,0.00
07/10  05:08:00,9.30,0,0.00,0.00,6.00,0,0.00,0.00
07/10  05:08:00,6.22,0,0.00,0.00,6.55,0,0.00,0.00
07/10  05:08:00,6.81,0,0.00,0.00,9.24,0,0.00,0.00
07/10  05:08:00,10.29,0,0.00,0.00,6.18,0,0.00,0.00
07/10  05:08:00,8.17,0,0.00,0.00,5.66,0,0.00,0.00
07/10  05:09:00,7.18,0,0.00,0.00,5.01,0,0.00,0.00
07/10  05:09:00,5.89,0,0.00,0.00,6.45,0,0.00,0.00
07/10  05:09:00,6.51,0,0.00,0.00,7.06,0,0.00,0.00
07/10  05:09:00,7.04,0,0.00,0.00,8.59,0,0.00,0.00
07/10  05:09:00,7.16,0,0.00,0.00,9.18,0,0.00,0.00
07/10  05:09:00,10.02,0,0.00,0.00,8.96,0,0.00,0.00
07/10  05:10:00,10.74,0,0.00,0.00,7.14,0,0.00,0.00
07/10  05:10:00,8.62,0,0.00,0.00,5.80,0,0.00,0.00
07/10  05:10:00,7.20,0,0.00,0.00,5.19,0,0.00,0.00
07/10  05:10:00,6.58,0,0.00,0.00,5.03,0,0.00,0.00
07/10  05:10:00,7.67,0,0.00,0.00,5.26,0,0.00,0.00
07/10  05:10:00,9.76,0,0.00,0.00,5.77,0,0.00,0.00
07/10  05:11:00,9.95,0,0.00,0.00,7.81,0,0.00,0.00
07/10  05:11:00,6.18,0,0.00,0.00,8.80,0,0.00,0.00
07/10  05:11:00,9.12,0,0.00,0.00,5.46,0,0.00,0.00
07/10  05:11:00,7.93,0,0.00,0.00,8.42,0,0.00,0.00
07/10  05:11:00,6.48,0,0.00,0.00,9.11,0,0.00,0.00
07/10  05:11:00,7.12,0,0.00,0.00,7.21,0,0.00,0.00
