date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
06/26  00:02:00,6.09,0,0.00,0.00,9.18,0,0.00,0.00
06/26  00:02:00,6.69,0,0.00,0.00,9.72,0,0.00,0.00
06/26  00:02:00,8.19,0,0.00,0.00,5.00,0,0.00,0.00
06/26  00:02:00,6.15,0,0.00,0.00,8.95,0,0.00,0.00
06/26  00:02:00,5.85,0,0.00,0.00,9.91,0,0.00,0.00
06/26  00:02:00,7.99,0,0.00,0.00,5.07,0,0.00,0.00
06/26  05:01:00,9.05,0,0.00,0.00,5.66,0,0.00,0.00
06/26  05:01:00,7.50,0,0.00,0.00,4.27,0,0.00,0.00
06/26  05:01:00,10.91,0,0.00,0.00,7.60,0,0.00,0.00
06/26  05:01:00,6.34,0,0.00,0.00,9.61,0,0.00,0.00
06/26  05:01:00,8.55,0,0.00,0.00,5.83,0,0.00,0.00
06/26  05:01:00,7.51,0,0.00,0.00,4.11,0,0.00,0.00
06/26  05:01:00,5.26,0,0.00,0.00,8.87,0,0.00,0.00
06/26  05:01:00,7.51,0,0.00,0.00,4.97,0,0.00,0.00
06/26  05:01:00,9.27,0,0.00,0.00,8.04,0,0.00,0.00
06/26  05:01:00,5.85,0,0.00,0.00,9.34,0,0.00,0.00
06/26  05:01:00,6.30,0,0.00,0.00,9.97,0,0.00,0.00
06/26  05:01:00,7.45,0,0.00,0.00,4.80,0,0.00,0.00
06/26  05:02:00,10.10,0,0.00,0.00,6.39,0,0.00,0.00
06/26  05:02:00,7.41,0,0.00,0.00,4.54,0,0.00,0.00
06/26  05:02:00,6.47,0,0.00,0.00,9.87,0,0.00,0.00
06/26  05:02:00,6.12,0,0.00,0.00,9.50,0,0.00,0.00
06/26  05:02:00,5.31,0,0.00,0.00,8.66,0,0.00,0.00
06/26  05:02:00,9.25,0,0.00,0.00,9.12,0,0.00,0.00
06/26  05:03:00,8.60,0,0.00,0.00,9.29,0,0.00,0.00
06/26  05:03:00,9.90,0,0.00,0.00,8.12,0,0.00,0.00
06/26  05:03:00,9.08,0,0.00,0.00,6.16,0,0.00,0.00
