date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
10/16  05:01:00,9.45,0,280.00,-11.40,6.22,0,280.00,-11.40
10/16  05:01:00,8.34,0,280.00,-11.40,4.99,0,280.00,-11.40
10/16  05:01:00,7.17,0,280.00,-11.40,7.72,0,280.00,-11.40
10/16  05:01:00,7.68,0,280.00,-11.40,4.69,0,280.00,-11.40
10/16  05:01:00,7.32,0,280.00,-11.40,8.12,0,280.00,-11.40
10/16  05:01:00,8.54,0,280.00,-11.40,4.80,0,280.00,-11.40
10/16  05:01:00,5.83,0,280.00,-11.40,9.26,0,280.00,-11.40
10/16  05:01:00,7.21,0,280.00,-11.40,4.18,0,280.00,-11.40
10/16  05:01:00,7.70,0,280.00,-11.40,4.67,0,280.00,-11.40
10/16  05:01:00,6.13,0,280.00,-11.40,9.26,0,280.00,-11.40
10/16  05:01:00,8.07,0,280.00,-11.40,4.85,0,280.00,-11.40
10/16  05:01:00,7.48,0,280.00,-11.40,8.21,0,280.00,-11.40
10/16  05:01:00,7.87,0,280.00,-11.40,4.58,0,280.00,-11.40
10/16  05:01:00,5.93,0,280.00,-11.40,9.13,0,280.00,-11.40
10/16  05:01:00,8.04,0,280.00,-11.40,4.95,0,280.00,-11.40
10/16  05:01:00,8.56,0,280.00,-11.40,5.31,0,280.00,-11.40
10/16  05:01:00,10.11,0,280.00,-11.40,6.86,0,280.00,-11.40
10/16  05:01:00,5.79,0,0.00,0.00,8.99,0,0.00,0.00
10/16  05:01:00,7.52,0,0.00,0.00,4.56,0,0.00,0.00
10/16  05:01:00,10.56,0,0.00,0.00,8.04,0,0.00,0.00
10/16  05:01:00,6.87,0,0.00,0.00,9.31,0,0.00,0.00
10/16  05:01:00,10.41,0,0.00,0.00,7.71,0,0.00,0.00
10/16  05:01:00,8.11,0,0.00,0.00,3.94,0,0.00,0.00
10/16  05:02:00,6.11,0,0.00,0.00,9.11,0,0.00,0.00
10/16  05:02:00,9.38,0,0.00,0.00,7.99,0,0.00,0.00
10/16  05:02:00,7.22,0,0.00,0.00,4.86,0,0.00,0.00
10/16  05:02:00,5.37,0,0.00,0.00,9.37,0,0.00,0.00
10/16  05:02:00,7.46,0,0.00,0.00,5.17,0,0.00,0.00
10/16  05:02:00,10.56,0,0.00,0.00,7.81,0,0.00,0.00
10/16  05:03:00,6.76,0,0.00,0.00,9.74,0,0.00,0.00
10/16  05:03:00,8.29,0,0.00,0.00,9.48,0,0.00,0.00
10/16  05:03:00,10.59,0,0.00,0.00,7.99,0,0.00,0.00
10/16  05:03:00,6.85,0,0.00,0.00,9.30,0,0.00,0.00
10/16  05:03:00,6.41,0,0.00,0.00,9.55,0,0.00,0.00
10/16  05:03:00,8.00,0,0.00,0.00,4.93,0,0.00,0.00
10/16  05:04:00,10.29,0,0.00,0.00,7.77,0,0.00,0.00
10/16  05:04:00,7.34,0,0.00,0.00,9.54,0,0.00,0.00
10/16  05:04:00,9.16,0,0.00,0.00,9.28,0,0.00,0.00
10/16  05:04:00,8.57,0,0.00,0.00,4.74,0,0.00,0.00
