date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/28  05:01:00,6.79,0,280.00,-11.40,4.17,0,280.00,-11.40
08/28  05:01:00,11.02,0,280.00,-11.40,8.36,0,280.00,-11.40
08/28  05:01:00,11.32,0,280.00,-11.40,8.44,0,280.00,-11.40
08/28  05:01:00,9.53,0,280.00,-11.40,6.11,0,280.00,-11.40
08/28  05:01:00,8.47,0,280.00,-11.40,5.18,0,280.00,-11.40
08/28  05:01:00,7.08,0,280.00,-11.40,9.42,0,280.00,-11.40
08/28  05:01:00,5.81,0,280.00,-11.40,9.35,0,280.00,-11.40
08/28  05:01:00,7.67,0,280.00,-11.40,4.46,0,280.00,-11.40
08/28  05:01:00,6.46,0,280.00,-11.40,9.32,0,280.00,-11.40
08/28  05:01:00,11.71,0,280.00,-11.40,8.40,0,280.00,-11.40
08/28  05:01:00,9.16,0,280.00,-11.40,5.79,0,280.00,-11.40
08/28  05:01:00,6.85,0,280.00,-11.40,9.34,0,280.00,-11.40
08/28  05:01:00,8.34,0,280.00,-11.40,5.96,0,280.00,-11.40
08/28  05:01:00,7.13,0,280.00,-11.40,8.48,0,280.00,-11.40
08/28  05:01:00,9.80,0,280.00,-11.40,8.47,0,280.00,-11.40
08/28  05:01:00,10.37,0,280.00,-11.40,5.86,0,280.00,-11.40
08/28  05:01:00,6.98,0,280.00,-11.40,7.49,0,280.00,-11.40
08/28  05:01:00,11.50,0,280.00,-11.40,8.19,0,280.00,-11.40
08/28  05:01:00,8.70,0,280.00,-11.40,5.67,0,280.00,-11.40
08/28  05:01:00,9.35,0,280.00,-11.40,6.57,0,280.00,-11.40
08/28  05:01:00,10.90,0,280.00,-11.40,7.51,0,280.00,-11.40
08/28  05:01:00,5.54,0,280.00,-11.40,9.13,0,280.00,-11.40
08/28  05:01:00,7.15,0,280.00,-11.40,6.09,0,280.00,-11.40
08/28  05:01:00,7.38,0,280.00,-11.40,4.85,0,280.00,-11.40
08/28  05:01:00,8.82,0,280.00,-11.40,7.02,0,280.00,-11.40
08/28  05:01:00,6.41,0,280.00,-11.40,8.93,0,280.00,-11.40
08/28  05:01:00,5.92,0,280.00,-11.40,6.34,0,280.00,-11.40
08/28  05:01:00,8.64,0,280.00,-11.40,5.87,0,280.00,-11.40
08/28  05:01:00,9.02,0,280.00,-11.40,5.57,0,280.00,-11.40
08/28  05:01:00,7.92,0,280.00,-11.40,5.10,0,280.00,-11.40
08/28  05:01:00,5.38,0,280.00,-11.40,8.26,0,280.00,-11.40
08/28  05:01:00,5.89,0,280.00,-11.40,7.32,0,280.00,-11.40
08/28  05:01:00,8.08,0,280.00,-11.40,5.45,0,280.00,-11.40
08/28  05:01:00,10.25,0,280.00,-11.40,6.50,0,280.00,-11.40
08/28  05:01:00,9.89,0,280.00,-11.40,6.87,0,280.00,-11.40
08/28  05:01:00,6.07,0,280.00,-11.40,4.19,0,280.00,-11.40
08/28  05:01:00,11.12,0,280.00,-11.40,6.72,0,280.00,-11.40
08/28  05:01:00,7.23,0,280.00,-11.40,9.71,0,280.00,-11.40
08/28  05:01:00,10.98,0,280.00,-11.40,6.66,0,280.00,-11.40
08/28  05:01:00,7.33,0,280.00,-11.40,9.30,0,280.00,-11.40
08/28  05:01:00,9.23,0,280.00,-11.40,5.58,0,280.00,-11.40
08/28  05:01:00,6.23,0,280.00,-11.40,9.19,0,280.00,-11.40
08/28  05:01:00,6.64,0,280.00,-11.40,4.79,0,280.00,-11.40
08/28  05:01:00,9.52,0,280.00,-11.40,7.75,0,280.00,-11.40
08/28  05:01:00,7.59,0,280.00,-11.40,8.99,0,280.00,-11.40
08/28  05:01:00,7.64,0,280.00,-11.40,4.38,0,280.00,-11.40
08/28  05:01:00,6.78,0,280.00,-11.40,9.04,0,280.00,-11.40
08/28  05:01:00,7.64,0,280.00,-11.40,4.41,0,280.00,-11.40
