date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/28  05:01:00,7.25,0,280.00,-11.40,5.26,0,280.00,-11.40
08/28  05:01:00,6.16,0,280.00,-11.40,9.35,0,280.00,-11.40
08/28  05:01:00,6.68,0,280.00,-11.40,9.25,0,280.00,-11.40
08/28  05:01:00,7.25,0,280.00,-11.40,4.40,0,280.00,-11.40
08/28  05:01:00,6.43,0,280.00,-11.40,9.49,0,280.00,-11.40
08/28  05:01:00,9.76,0,280.00,-11.40,6.39,0,280.00,-11.40
08/28  05:01:00,6.17,0,280.00,-11.40,9.47,0,280.00,-11.40
08/28  05:01:00,10.20,0,280.00,-11.40,6.99,0,280.00,-11.40
08/28  05:01:00,8.94,0,280.00,-11.40,5.34,0,280.00,-11.40
08/28  05:01:00,8.78,0,280.00,-11.40,5.83,0,280.00,-11.40
08/28  05:01:00,8.74,0,280.00,-11.40,6.41,0,280.00,-11.40
08/28  05:01:00,7.83,0,0.00,0.00,4.65,0,0.00,0.00
08/28  05:01:00,7.70,0,0.00,0.00,4.46,0,0.00,0.00
08/28  05:01:00,6.56,0,0.00,0.00,7.78,0,0.00,0.00
08/28  05:01:00,7.40,0,0.00,0.00,7.06,0,0.00,0.00
08/28  05:01:00,9.88,0,0.00,0.00,7.03,0,0.00,0.00
08/28  05:01:00,7.06,0,0.00,0.00,9.22,0,0.00,0.00
08/28  05:02:00,10.11,0,0.00,0.00,6.49,0,0.00,0.00
08/28  05:02:00,7.62,0,0.00,0.00,5.18,0,0.00,0.00
08/28  05:02:00,6.63,0,0.00,0.00,8.76,0,0.00,0.00
08/28  05:02:00,7.35,0,0.00,0.00,8.30,0,0.00,0.00
08/28  05:02:00,8.26,0,0.00,0.00,5.05,0,0.00,0.00
08/28  05:02:00,9.57,0,0.00,0.00,7.26,0,0.00,0.00
08/28  05:03:00,8.87,0,0.00,0.00,5.00,0,0.00,0.00
08/28  05:03:00,7.49,0,0.00,0.00,4.81,0,0.00,0.00
08/28  05:03:00,7.72,0,0.00,0.00,5.25,0,0.00,0.00
