date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/16  05:11:00,9.09,0,280.00,-11.40,5.70,0,280.00,-11.40
08/16  05:11:00,9.98,0,280.00,-11.40,6.19,0,280.00,-11.40
08/16  05:11:00,5.68,0,280.00,-11.40,9.12,0,280.00,-11.40
08/16  05:11:00,7.25,0,280.00,-11.40,5.53,0,280.00,-11.40
08/16  05:11:00,7.57,0,280.00,-11.40,4.80,0,280.00,-11.40
08/16  05:11:00,10.12,0,280.00,-11.40,6.94,0,280.00,-11.40
08/16  05:11:00,7.04,0,280.00,-11.40,4.25,0,280.00,-11.40
08/16  05:11:00,8.20,0,280.00,-11.40,8.02,0,280.00,-11.40
08/16  05:11:00,9.04,0,280.00,-11.40,5.89,0,280.00,-11.40
08/16  05:11:00,7.41,0,280.00,-11.40,4.61,0,280.00,-11.40
08/16  05:11:00,6.49,0,280.00,-11.40,9.80,0,280.00,-11.40
08/16  05:11:00,5.62,0,280.00,-11.40,9.21,0,280.00,-11.40
08/16  05:11:00,8.91,0,280.00,-11.40,6.02,0,280.00,-11.40
08/16  05:11:00,8.56,0,280.00,-11.40,6.05,0,280.00,-11.40
08/16  05:11:00,5.70,0,0.00,0.00,9.23,0,0.00,0.00
08/16  05:12:00,10.21,0,0.00,0.00,6.68,0,0.00,0.00
08/16  05:12:00,7.00,0,0.00,0.00,4.03,0,0.00,0.00
08/16  05:12:00,9.46,0,0.00,0.00,6.06,0,0.00,0.00
08/16  05:12:00,10.38,0,0.00,0.00,6.59,0,0.00,0.00
08/16  05:12:00,9.76,0,0.00,0.00,8.22,0,0.00,0.00
08/16  05:12:00,10.56,0,0.00,0.00,8.37,0,0.00,0.00
08/16  05:13:00,7.25,0,0.00,0.00,9.02,0,0.00,0.00
08/16  05:13:00,7.92,0,0.00,0.00,4.22,0,0.00,0.00
08/16  05:13:00,6.17,0,0.00,0.00,8.10,0,0.00,0.00
08/16  05:13:00,7.16,0,0.00,0.00,4.36,0,0.00,0.00
08/16  05:13:00,8.70,0,0.00,0.00,6.05,0,0.00,0.00
08/16  05:13:00,9.34,0,0.00,0.00,5.74,0,0.00,0.00
08/16  05:14:00,7.03,0,0.00,0.00,5.38,0,0.00,0.00
08/16  05:14:00,8.09,0,0.00,0.00,5.12,0,0.00,0.00
08/16  05:14:00,8.01,0,0.00,0.00,5.53,0,0.00,0.00
08/16  05:14:00,9.83,0,0.00,0.00,6.93,0,0.00,0.00
08/16  05:14:00,7.06,0,0.00,0.00,9.03,0,0.00,0.00
08/16  05:14:00,10.27,0,0.00,0.00,7.32,0,0.00,0.00
08/16  05:15:00,7.79,0,0.00,0.00,4.88,0,0.00,0.00
08/16  05:15:00,6.57,0,0.00,0.00,3.45,0,0.00,0.00
08/16  05:15:00,5.86,0,0.00,0.00,9.59,0,0.00,0.00
08/16  05:15:00,6.46,0,0.00,0.00,8.85,0,0.00,0.00
08/16  05:15:00,7.97,0,0.00,0.00,4.91,0,0.00,0.00
08/16  05:15:00,5.95,0,0.00,0.00,8.03,0,0.00,0.00
08/16  05:16:00,7.33,0,0.00,0.00,4.02,0,0.00,0.00
08/16  05:16:00,9.35,0,0.00,0.00,5.57,0,0.00,0.00
08/16  05:16:00,7.12,0,0.00,0.00,8.68,0,0.00,0.00
08/16  05:16:00,6.24,0,0.00,0.00,8.87,0,0.00,0.00
08/16  05:16:00,6.25,0,0.00,0.00,9.28,0,0.00,0.00
08/16  05:16:00,7.08,0,0.00,0.00,5.38,0,0.00,0.00
08/16  05:17:00,10.06,0,0.00,0.00,6.51,0,0.00,0.00
08/16  05:17:00,8.90,0,0.00,0.00,5.19,0,0.00,0.00
08/16  05:17:00,8.60,0,0.00,0.00,6.39,0,0.00,0.00
08/16  05:17:00,6.81,0,0.00,0.00,4.56,0,0.00,0.00
08/16  05:17:00,6.50,0,0.00,0.00,3.90,0,0.00,0.00
