date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
08/28  00:02:00,10.18,0,0.00,0.00,7.16,0,0.00,0.00
08/28  00:02:00,7.05,0,0.00,0.00,4.21,0,0.00,0.00
08/28  00:02:00,10.71,0,0.00,0.00,7.89,0,0.00,0.00
08/28  00:02:00,7.97,0,0.00,0.00,4.92,0,0.00,0.00
08/28  00:02:00,7.85,0,0.00,0.00,5.12,0,0.00,0.00
08/28  00:02:00,7.79,0,0.00,0.00,4.87,0,0.00,0.00
08/28  05:01:00,6.29,0,0.00,0.00,9.66,0,0.00,0.00
08/28  05:01:00,10.85,0,0.00,0.00,7.99,0,0.00,0.00
08/28  05:01:00,9.46,0,0.00,0.00,6.60,0,0.00,0.00
08/28  05:01:00,6.34,0,0.00,0.00,9.27,0,0.00,0.00
08/28  05:01:00,8.00,0,0.00,0.00,8.16,0,0.00,0.00
08/28  05:01:00,8.10,0,0.00,0.00,8.85,0,0.00,0.00
08/28  05:02:00,6.91,0,0.00,0.00,8.81,0,0.00,0.00
08/28  05:02:00,9.71,0,0.00,0.00,6.90,0,0.00,0.00
08/28  05:02:00,8.30,0,0.00,0.00,4.95,0,0.00,0.00
08/28  05:02:00,5.07,0,0.00,0.00,9.35,0,0.00,0.00
08/28  05:02:00,9.39,0,0.00,0.00,6.03,0,0.00,0.00
08/28  05:02:00,8.44,0,0.00,0.00,4.93,0,0.00,0.00
08/28  05:02:00,6.11,0,0.00,0.00,9.53,0,0.00,0.00
08/28  05:03:00,10.26,0,0.00,0.00,6.79,0,0.00,0.00
08/28  05:03:00,5.42,0,0.00,0.00,9.26,0,0.00,0.00
08/28  05:03:00,9.02,0,0.00,0.00,6.76,0,0.00,0.00
08/28  05:03:00,6.70,0,0.00,0.00,6.52,0,0.00,0.00
08/28  05:03:00,7.89,0,0.00,0.00,8.44,0,0.00,0.00
08/28  05:04:00,7.46,0,0.00,0.00,5.09,0,0.00,0.00
08/28  05:04:00,5.38,0,0.00,0.00,9.34,0,0.00,0.00
08/28  05:04:00,7.56,0,0.00,0.00,4.59,0,0.00,0.00
08/28  05:04:00,7.69,0,0.00,0.00,4.95,0,0.00,0.00
08/28  05:04:00,7.48,0,0.00,0.00,8.89,0,0.00,0.00
08/28  05:04:00,9.56,0,0.00,0.00,6.46,0,0.00,0.00
08/28  05:05:00,7.43,0,0.00,0.00,4.87,0,0.00,0.00
08/28  05:05:00,7.29,0,0.00,0.00,5.57,0,0.00,0.00
08/28  05:05:00,6.72,0,0.00,0.00,9.53,0,0.00,0.00
08/28  05:05:00,5.79,0,0.00,0.00,9.14,0,0.00,0.00
08/28  05:05:00,10.50,0,0.00,0.00,7.41,0,0.00,0.00
08/28  05:05:00,7.25,0,0.00,0.00,5.24,0,0.00,0.00
08/28  05:06:00,7.05,0,0.00,0.00,6.10,0,0.00,0.00
08/28  05:06:00,5.27,0,0.00,0.00,9.23,0,0.00,0.00
08/28  05:06:00,7.41,0,0.00,0.00,7.29,0,0.00,0.00
08/28  05:06:00,9.21,0,0.00,0.00,4.55,0,0.00,0.00
08/28  05:06:00,9.37,0,0.00,0.00,4.93,0,0.00,0.00
08/28  05:06:00,9.00,0,0.00,0.00,5.40,0,0.00,0.00
08/28  05:07:00,10.37,0,0.00,0.00,5.92,0,0.00,0.00
08/28  05:07:00,9.37,0,0.00,0.00,5.24,0,0.00,0.00
08/28  05:07:00,7.68,0,0.00,0.00,5.57,0,0.00,0.00
08/28  05:07:00,7.17,0,0.00,0.00,5.83,0,0.00,0.00
08/28  05:07:00,7.60,0,0.00,0.00,4.68,0,0.00,0.00
08/28  05:07:00,5.69,0,0.00,0.00,9.23,0,0.00,0.00
08/28  05:08:00,8.94,0,0.00,0.00,6.47,0,0.00,0.00
08/28  05:08:00,6.07,0,0.00,0.00,9.94,0,0.00,0.00
08/28  05:08:00,8.13,0,0.00,0.00,4.67,0,0.00,0.00
08/28  05:08:00,10.37,0,0.00,0.00,8.04,0,0.00,0.00
08/28  05:08:00,6.43,0,0.00,0.00,8.26,0,0.00,0.00
08/28  05:08:00,8.27,0,0.00,0.00,8.40,0,0.00,0.00
08/28  05:09:00,9.20,0,0.00,0.00,5.86,0,0.00,0.00
08/28  05:09:00,7.42,0,0.00,0.00,5.26,0,0.00,0.00
08/28  05:09:00,7.04,0,0.00,0.00,4.49,0,0.00,0.00
08/28  05:09:00,6.42,0,0.00,0.00,9.72,0,0.00,0.00
08/28  05:09:00,8.50,0,0.00,0.00,8.17,0,0.00,0.00
08/28  05:09:00,5.72,0,0.00,0.00,9.90,0,0.00,0.00
08/28  05:10:00,9.99,0,0.00,0.00,6.64,0,0.00,0.00
08/28  05:10:00,8.22,0,0.00,0.00,9.08,0,0.00,0.00
08/28  05:10:00,7.84,0,0.00,0.00,5.04,0,0.00,0.00
08/28  05:10:00,9.22,0,0.00,0.00,5.80,0,0.00,0.00
08/28  05:10:00,7.39,0,0.00,0.00,8.23,0,0.00,0.00
08/28  05:10:00,10.11,0,0.00,0.00,5.86,0,0.00,0.00
08/28  05:11:00,7.53,0,0.00,0.00,4.24,0,0.00,0.00
08/28  05:11:00,5.52,0,0.00,0.00,9.28,0,0.00,0.00
08/28  05:11:00,8.57,0,0.00,0.00,4.92,0,0.00,0.00
08/28  05:11:00,11.13,0,0.00,0.00,7.71,0,0.00,0.00
08/28  05:11:00,8.09,0,0.00,0.00,4.98,0,0.00,0.00
08/28  05:11:00,5.71,0,0.00,0.00,9.30,0,0.00,0.00
08/28  05:12:00,7.43,0,0.00,0.00,4.19,0,0.00,0.00
08/28  05:12:00,7.66,0,0.00,0.00,9.54,0,0.00,0.00
08/28  05:12:00,8.65,0,0.00,0.00,5.60,0,0.00,0.00
08/28  05:12:00,5.61,0,0.00,0.00,9.49,0,0.00,0.00
08/28  05:12:00,10.83,0,0.00,0.00,7.20,0,0.00,0.00
08/28  05:12:00,9.08,0,0.00,0.00,5.75,0,0.00,0.00
08/28  05:13:00,4.56,0,0.00,0.00,9.18,0,0.00,0.00
08/28  05:13:00,7.72,0,0.00,0.00,9.35,0,0.00,0.00
08/28  05:13:00,6.15,0,0.00,0.00,8.55,0,0.00,0.00
08/28  05:13:00,7.42,0,0.00,0.00,9.51,0,0.00,0.00
08/28  05:13:00,8.67,0,0.00,0.00,6.32,0,0.00,0.00
08/28  05:13:00,6.18,0,0.00,0.00,9.83,0,0.00,0.00
08/28  05:14:00,7.32,0,0.00,0.00,8.07,0,0.00,0.00
08/28  05:14:00,10.16,0,0.00,0.00,7.76,0,0.00,0.00
08/28  05:14:00,6.97,0,0.00,0.00,9.64,0,0.00,0.00
08/28  05:14:00,8.92,0,0.00,0.00,5.37,0,0.00,0.00
08/28  05:14:00,5.07,0,0.00,0.00,9.14,0,0.00,0.00
08/28  05:14:00,9.46,0,0.00,0.00,6.19,0,0.00,0.00
08/28  05:15:00,7.07,0,0.00,0.00,8.04,0,0.00,0.00
08/28  05:15:00,10.44,0,0.00,0.00,7.60,0,0.00,0.00
08/28  05:15:00,6.34,0,0.00,0.00,4.42,0,0.00,0.00
08/28  05:15:00,10.73,0,0.00,0.00,7.80,0,0.00,0.00
08/28  05:15:00,5.83,0,0.00,0.00,9.46,0,0.00,0.00
08/28  05:15:00,9.11,0,0.00,0.00,5.95,0,0.00,0.00
08/28  05:16:00,6.30,0,0.00,0.00,8.42,0,0.00,0.00
08/28  05:16:00,8.12,0,0.00,0.00,8.22,0,0.00,0.00
08/28  05:16:00,8.24,0,0.00,0.00,5.11,0,0.00,0.00
08/28  05:16:00,11.41,0,0.00,0.00,7.89,0,0.00,0.00
08/28  05:16:00,6.68,0,0.00,0.00,8.27,0,0.00,0.00
08/28  05:16:00,10.57,0,0.00,0.00,6.82,0,0.00,0.00
08/28  05:17:00,8.94,0,0.00,0.00,8.78,0,0.00,0.00
08/28  05:17:00,7.16,0,0.00,0.00,9.56,0,0.00,0.00
08/28  05:17:00,8.89,0,0.00,0.00,5.62,0,0.00,0.00
08/28  05:17:00,10.62,0,0.00,0.00,7.45,0,0.00,0.00
08/28  05:17:00,7.90,0,0.00,0.00,8.82,0,0.00,0.00
08/28  05:17:00,6.20,0,0.00,0.00,8.83,0,0.00,0.00
08/28  05:18:00,5.79,0,0.00,0.00,9.20,0,0.00,0.00
08/28  05:18:00,5.99,0,0.00,0.00,9.22,0,0.00,0.00
08/28  05:18:00,10.01,0,0.00,0.00,7.82,0,0.00,0.00
08/28  05:18:00,6.30,0,0.00,0.00,8.67,0,0.00,0.00
08/28  05:18:00,10.17,0,0.00,0.00,7.82,0,0.00,0.00
08/28  05:18:00,7.24,0,0.00,0.00,6.87,0,0.00,0.00
08/28  05:19:00,9.29,0,0.00,0.00,8.23,0,0.00,0.00
08/28  05:19:00,8.07,0,0.00,0.00,4.30,0,0.00,0.00
08/28  05:19:00,9.33,0,0.00,0.00,7.49,0,0.00,0.00
08/28  05:19:00,6.76,0,0.00,0.00,9.19,0,0.00,0.00
08/28  05:19:00,6.40,0,0.00,0.00,9.31,0,0.00,0.00
08/28  05:19:00,5.80,0,0.00,0.00,8.99,0,0.00,0.00
08/28  05:20:00,10.08,0,0.00,0.00,7.13,0,0.00,0.00
08/28  05:20:00,10.24,0,0.00,0.00,7.85,0,0.00,0.00
08/28  05:20:00,8.01,0,0.00,0.00,4.96,0,0.00,0.00
08/28  05:20:00,10.65,0,0.00,0.00,7.20,0,0.00,0.00
08/28  05:20:00,5.52,0,0.00,0.00,9.08,0,0.00,0.00
08/28  05:20:00,9.61,0,0.00,0.00,6.00,0,0.00,0.00
08/28  05:21:00,9.01,0,0.00,0.00,8.54,0,0.00,0.00
08/28  05:21:00,6.97,0,0.00,0.00,9.27,0,0.00,0.00
08/28  05:21:00,7.24,0,0.00,0.00,5.49,0,0.00,0.00
08/28  05:21:00,2.78,0,0.00,0.00,9.09,0,0.00,0.00
08/28  05:21:00,8.06,0,0.00,0.00,9.22,0,0.00,0.00
08/28  05:21:00,8.93,0,0.00,0.00,5.84,0,0.00,0.00
08/28  05:22:00,7.01,0,0.00,0.00,7.24,0,0.00,0.00
08/28  05:22:00,10.76,0,0.00,0.00,8.24,0,0.00,0.00
08/28  05:22:00,8.57,0,0.00,0.00,4.19,0,0.00,0.00
08/28  05:22:00,10.43,0,0.00,0.00,7.55,0,0.00,0.00
08/28  05:22:00,4.83,0,0.00,0.00,9.01,0,0.00,0.00
08/28  05:22:00,7.01,0,0.00,0.00,4.73,0,0.00,0.00
08/28  05:23:00,5.92,0,0.00,0.00,9.03,0,0.00,0.00
08/28  05:23:00,10.45,0,0.00,0.00,7.10,0,0.00,0.00
08/28  05:23:00,7.55,0,0.00,0.00,5.00,0,0.00,0.00
08/28  05:23:00,5.71,0,0.00,0.00,9.21,0,0.00,0.00
08/28  05:23:00,8.65,0,0.00,0.00,5.17,0,0.00,0.00
08/28  05:23:00,6.18,0,0.00,0.00,9.32,0,0.00,0.00
08/28  05:24:00,8.38,0,0.00,0.00,5.75,0,0.00,0.00
08/28  05:24:00,6.42,0,0.00,0.00,9.16,0,0.00,0.00
08/28  05:24:00,9.92,0,0.00,0.00,7.39,0,0.00,0.00
08/28  05:24:00,9.51,0,0.00,0.00,6.41,0,0.00,0.00
08/28  05:24:00,8.75,0,0.00,0.00,4.99,0,0.00,0.00
08/28  05:24:00,9.90,0,0.00,0.00,8.22,0,0.00,0.00
08/28  05:25:00,9.87,0,0.00,0.00,8.09,0,0.00,0.00
08/28  05:25:00,7.67,0,0.00,0.00,4.34,0,0.00,0.00
08/28  05:25:00,9.86,0,0.00,0.00,7.38,0,0.00,0.00
08/28  05:25:00,6.78,0,0.00,0.00,5.53,0,0.00,0.00
08/28  05:25:00,6.48,0,0.00,0.00,9.38,0,0.00,0.00
08/28  05:25:00,5.60,0,0.00,0.00,8.86,0,0.00,0.00
08/28  05:26:00,7.89,0,0.00,0.00,9.40,0,0.00,0.00
08/28  05:26:00,10.32,0,0.00,0.00,7.63,0,0.00,0.00
08/28  05:26:00,7.09,0,0.00,0.00,8.99,0,0.00,0.00
08/28  05:26:00,7.25,0,0.00,0.00,5.05,0,0.00,0.00
08/28  05:26:00,6.55,0,0.00,0.00,5.90,0,0.00,0.00
08/28  05:26:00,8.99,0,0.00,0.00,4.92,0,0.00,0.00
