date_time,ahu1_fan_power,ahu1_fr_frMode,ahu1_fr_basePower,ahu1_fr_sp_w,ahu2_fan_power,ahu2_fr_frMode,ahu2_fr_basePower,ahu2_fr_sp_w
10/07  05:01:00,9.92,0,280.00,-11.40,8.69,0,280.00,-11.40
10/07  05:01:00,9.75,0,280.00,-11.40,6.52,0,280.00,-11.40
10/07  05:01:00,8.17,0,280.00,-11.40,5.15,0,280.00,-11.40
10/07  05:01:00,10.03,0,280.00,-11.40,6.80,0,280.00,-11.40
10/07  05:01:00,6.25,0,280.00,-11.40,9.14,0,280.00,-11.40
10/07  05:01:00,6.26,0,280.00,-11.40,9.86,0,280.00,-11.40
10/07  05:01:00,5.04,0,280.00,-11.40,8.92,0,280.00,-11.40
10/07  05:01:00,7.45,0,280.00,-11.40,4.45,0,280.00,-11.40
10/07  05:01:00,10.30,0,280.00,-11.40,7.59,0,280.00,-11.40
10/07  05:01:00,7.03,0,280.00,-11.40,4.27,0,280.00,-11.40
10/07  05:01:00,6.95,0,0.00,0.00,9.82,0,0.00,0.00
10/07  05:01:00,7.37,0,0.00,0.00,9.59,0,0.00,0.00
10/07  05:01:00,6.88,0,0.00,0.00,7.16,0,0.00,0.00
10/07  05:01:00,8.94,0,0.00,0.00,6.34,0,0.00,0.00
10/07  05:01:00,10.39,0,0.00,0.00,8.03,0,0.00,0.00
10/07  05:02:00,11.59,0,0.00,0.00,8.07,0,0.00,0.00
10/07  05:02:00,5.43,0,0.00,0.00,9.37,0,0.00,0.00
10/07  05:02:00,6.35,0,0.00,0.00,5.67,0,0.00,0.00
10/07  05:02:00,7.92,0,0.00,0.00,5.18,0,0.00,0.00
10/07  05:02:00,9.36,0,0.00,0.00,6.05,0,0.00,0.00
10/07  05:02:00,9.38,0,0.00,0.00,5.74,0,0.00,0.00
10/07  05:03:00,6.20,0,0.00,0.00,6.76,0,0.00,0.00
10/07  05:03:00,7.68,0,0.00,0.00,9.21,0,0.00,0.00
10/07  05:03:00,10.45,0,0.00,0.00,8.49,0,0.00,0.00
10/07  05:03:00,7.18,0,0.00,0.00,8.91,0,0.00,0.00
10/07  05:03:00,7.29,0,0.00,0.00,9.38,0,0.00,0.00
10/07  05:03:00,7.69,0,0.00,0.00,4.01,0,0.00,0.00
10/07  05:04:00,7.09,0,0.00,0.00,5.20,0,0.00,0.00
10/07  05:04:00,7.19,0,0.00,0.00,4.30,0,0.00,0.00
10/07  05:04:00,9.84,0,0.00,0.00,6.61,0,0.00,0.00
10/07  05:04:00,6.31,0,0.00,0.00,6.88,0,0.00,0.00
10/07  05:04:00,9.57,0,0.00,0.00,8.77,0,0.00,0.00
10/07  05:04:00,10.07,0,0.00,0.00,6.12,0,0.00,0.00
10/07  05:05:00,7.38,0,0.00,0.00,9.49,0,0.00,0.00
10/07  05:05:00,6.22,0,0.00,0.00,6.28,0,0.00,0.00
10/07  05:05:00,6.35,0,0.00,0.00,4.55,0,0.00,0.00
10/07  05:05:00,8.48,0,0.00,0.00,5.74,0,0.00,0.00
10/07  05:05:00,10.81,0,0.00,0.00,8.13,0,0.00,0.00
10/07  05:05:00,5.90,0,0.00,0.00,8.89,0,0.00,0.00
10/07  05:06:00,6.70,0,0.00,0.00,4.49,0,0.00,0.00
